# {'participant': 'chloe', 'session': 'stimulation', 'date': '2021_déc._03_1730', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00778299187364}
subj,trial,time, stimulus, response
chloe,0,0.0008831024,stimulus,
chloe,1,0.7507460117,stimulus,
chloe,1,1.4269230366,tap,l
chloe,2,1.5007541180,stimulus,
chloe,2,1.8619339466,tap,s
chloe,3,2.2507760525,stimulus,
chloe,3,2.3294830322,tap,l
chloe,3,2.9921360016,tap,s
chloe,4,3.0007860661,stimulus,
chloe,4,3.6221361160,tap,s
chloe,5,3.7508070469,stimulus,
chloe,1,3.7961220741,pulse,NA
chloe,5,4.3375310898,tap,s
chloe,6,4.5008230209,stimulus,
chloe,6,5.0082540512,tap,s
chloe,7,5.2508461475,stimulus,
chloe,7,5.6992430687,tap,l
chloe,8,6.0008699894,stimulus,
chloe,8,6.5567500591,tap,s
chloe,9,6.7508921623,stimulus,
chloe,9,7.3534049988,tap,s
chloe,10,7.5009109974,stimulus,
chloe,2,7.8292479515,pulse,NA
chloe,10,8.0646641254,tap,s
chloe,11,8.2509419918,stimulus,
chloe,11,8.8125090599,tap,l
chloe,12,9.0009520054,stimulus,
chloe,12,9.5726611614,tap,l
chloe,13,9.7509679794,stimulus,
chloe,13,10.3451061249,tap,s
chloe,14,10.5010321140,stimulus,
chloe,14,11.1576149464,tap,s
chloe,15,11.2510111332,stimulus,
chloe,15,11.8893301487,tap,l
chloe,16,12.0010311604,stimulus,
chloe,16,12.7306301594,tap,s
chloe,17,12.7510471344,stimulus,
chloe,3,12.7560861111,pulse,NA
chloe,18,13.5010700226,stimulus,
chloe,18,13.5718760490,tap,l
chloe,19,14.2510910034,stimulus,
chloe,19,14.4700069427,tap,s
chloe,19,14.9783270359,tap,l
chloe,20,15.0011270046,stimulus,
chloe,20,15.6408071518,tap,l
chloe,21,15.7511260509,stimulus,
chloe,21,16.3887729645,tap,l
chloe,22,16.5011720657,stimulus,
chloe,4,16.7543330193,pulse,NA
chloe,22,17.0471310616,tap,l
chloe,23,17.2511680126,stimulus,
chloe,23,17.8316571712,tap,s
chloe,24,18.0011911392,stimulus,
chloe,24,18.4738781452,tap,l
chloe,25,18.7512171268,stimulus,
chloe,26,19.5012421608,stimulus,
chloe,26,20.1398179531,tap,l
chloe,27,20.2512640953,stimulus,
chloe,27,20.6642041206,tap,l
chloe,28,21.0013320446,stimulus,
chloe,28,21.2334499359,tap,s
chloe,5,21.4356460571,pulse,NA
chloe,29,21.7513320446,stimulus,
chloe,29,21.7984790802,tap,l
chloe,29,22.4935050011,tap,l
chloe,30,22.5013329983,stimulus,
chloe,30,23.1723320484,tap,s
chloe,31,23.2513689995,stimulus,
chloe,31,23.8796651363,tap,l
chloe,32,24.0013580322,stimulus,
chloe,32,24.6681170464,tap,s
chloe,33,24.7514209747,stimulus,
chloe,33,25.3468101025,tap,l
chloe,34,25.5014190674,stimulus,
chloe,6,26.0900430679,pulse,NA
chloe,34,26.1475310326,tap,s
chloe,35,26.2514231205,stimulus,
chloe,35,26.9359850883,tap,l
chloe,36,27.0014300346,stimulus,
chloe,37,27.7514679432,stimulus,
chloe,37,27.7854220867,tap,s
chloe,37,28.4236900806,tap,l
chloe,38,28.5014660358,stimulus,
chloe,39,29.2514791489,stimulus,
chloe,39,29.3177680969,tap,s
chloe,39,29.9559590816,tap,l
chloe,40,30.0015139580,stimulus,
chloe,40,30.6551671028,tap,s
chloe,41,30.7515320778,stimulus,
chloe,7,31.0042059422,pulse,NA
chloe,41,31.3543560505,tap,l
chloe,42,31.5015521049,stimulus,
chloe,43,32.2515699863,stimulus,
chloe,44,33.0015940666,stimulus,
chloe,45,33.7516191006,stimulus,
chloe,8,34.0623519421,pulse,NA
chloe,46,34.5016350746,stimulus,
chloe,47,35.2516591549,stimulus,
chloe,9,37.3466401100,pulse,NA
chloe,10,41.2979650497,pulse,NA
chloe,11,44.4699749947,pulse,NA
chloe,12,47.8769829273,pulse,NA
chloe,13,52.1064360142,pulse,NA
chloe,14,56.9740819931,pulse,NA
