# {'participant': 'corentin', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._02_1555', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00494997803983}
condition,block_num, subj, EEG, trial,time, stimulus, response
baseline_1,1,corentin,Yes,0,0.0003840923,stimulus,
baseline_1,1,corentin,Yes,1,0.7502040863,stimulus,
baseline_1,1,corentin,Yes,2,1.5002110004,stimulus,
baseline_1,1,corentin,Yes,2,1.7789030075,tap,l
baseline_1,1,corentin,Yes,3,2.2502391338,stimulus,
baseline_1,1,corentin,Yes,3,2.2741501331,tap,s
baseline_1,1,corentin,Yes,4,3.0002560616,stimulus,
baseline_1,1,corentin,Yes,4,3.0045571327,tap,s
baseline_1,1,corentin,Yes,4,3.6782889366,tap,l
baseline_1,1,corentin,Yes,5,3.7502620220,stimulus,
baseline_1,1,corentin,Yes,5,4.4128410816,tap,l
baseline_1,1,corentin,Yes,6,4.5002799034,stimulus,
baseline_1,1,corentin,Yes,6,5.0906019211,tap,s
baseline_1,1,corentin,Yes,7,5.2502999306,stimulus,
baseline_1,1,corentin,Yes,7,5.8413181305,tap,s
baseline_1,1,corentin,Yes,8,6.0003371239,stimulus,
baseline_1,1,corentin,Yes,8,6.5068840981,tap,s
baseline_1,1,corentin,Yes,9,6.7503480911,stimulus,
baseline_1,1,corentin,Yes,9,7.3590269089,tap,s
baseline_1,1,corentin,Yes,10,7.5003950596,stimulus,
baseline_1,1,corentin,Yes,10,8.1502411366,tap,s
baseline_1,1,corentin,Yes,11,8.2504019737,stimulus,
baseline_1,1,corentin,Yes,11,8.9660289288,tap,s
baseline_1,1,corentin,Yes,12,9.0003969669,stimulus,
baseline_1,1,corentin,Yes,13,9.7504079342,stimulus,
baseline_1,1,corentin,Yes,13,9.7898499966,tap,l
baseline_1,1,corentin,Yes,14,10.5004520416,stimulus,
baseline_1,1,corentin,Yes,14,10.5567440987,tap,l
baseline_1,1,corentin,Yes,14,11.2223110199,tap,s
baseline_1,1,corentin,Yes,15,11.2504620552,stimulus,
baseline_1,1,corentin,Yes,16,12.0004789829,stimulus,
baseline_1,1,corentin,Yes,16,12.0183420181,tap,l
baseline_1,1,corentin,Yes,17,12.7504849434,stimulus,
baseline_1,1,corentin,Yes,17,12.7766020298,tap,s
baseline_1,1,corentin,Yes,17,13.4462490082,tap,l
baseline_1,1,corentin,Yes,18,13.5005171299,stimulus,
baseline_1,1,corentin,Yes,19,14.2505331039,stimulus,
baseline_1,1,corentin,Yes,19,14.2537600994,tap,l
baseline_1,1,corentin,Yes,19,14.9031720161,tap,s
baseline_1,1,corentin,Yes,20,15.0005469322,stimulus,
baseline_1,1,corentin,Yes,20,15.7025880814,tap,s
baseline_1,1,corentin,Yes,21,15.7505669594,stimulus,
baseline_1,1,corentin,Yes,22,16.5005879402,stimulus,
baseline_1,1,corentin,Yes,22,16.5141940117,tap,l
baseline_1,1,corentin,Yes,23,17.2506079674,stimulus,
baseline_1,1,corentin,Yes,23,17.3419220448,tap,l
baseline_1,1,corentin,Yes,24,18.0006170273,stimulus,
baseline_1,1,corentin,Yes,24,18.0156290531,tap,s
baseline_1,1,corentin,Yes,24,18.6852669716,tap,s
baseline_1,1,corentin,Yes,25,18.7506380081,stimulus,
baseline_1,1,corentin,Yes,25,19.4116520882,tap,l
baseline_1,1,corentin,Yes,26,19.5006539822,stimulus,
baseline_1,1,corentin,Yes,26,20.2030420303,tap,s
baseline_1,1,corentin,Yes,27,20.2506690025,stimulus,
baseline_1,1,corentin,Yes,27,20.8969860077,tap,l
baseline_1,1,corentin,Yes,28,21.0007069111,stimulus,
baseline_1,1,corentin,Yes,28,21.5666170120,tap,l
baseline_1,1,corentin,Yes,29,21.7507131100,stimulus,
baseline_1,1,corentin,Yes,29,22.3011319637,tap,l
baseline_1,1,corentin,Yes,30,22.5007340908,stimulus,
baseline_1,1,corentin,Yes,30,23.1289570332,tap,l
baseline_1,1,corentin,Yes,31,23.2507569790,stimulus,
baseline_1,1,corentin,Yes,31,23.9446580410,tap,s
baseline_1,1,corentin,Yes,32,24.0007660389,stimulus,
baseline_1,1,corentin,Yes,32,24.6426539421,tap,l
baseline_1,1,corentin,Yes,33,24.7507870197,stimulus,
baseline_1,1,corentin,Yes,33,25.4055490494,tap,s
baseline_1,1,corentin,Yes,34,25.5008029938,stimulus,
baseline_1,1,corentin,Yes,34,26.1603701115,tap,l
baseline_1,1,corentin,Yes,35,26.2508189678,stimulus,
baseline_1,1,corentin,Yes,36,27.0008380413,stimulus,
baseline_1,1,corentin,Yes,36,27.0247550011,tap,s
baseline_1,1,corentin,Yes,36,27.6458179951,tap,l
baseline_1,1,corentin,Yes,37,27.7508630753,stimulus,
baseline_1,1,corentin,Yes,37,28.4006240368,tap,l
baseline_1,1,corentin,Yes,38,28.5008659363,stimulus,
baseline_1,1,corentin,Yes,38,29.1513319016,tap,l
baseline_1,1,corentin,Yes,39,29.2508780956,stimulus,
baseline_1,1,corentin,Yes,39,29.8980789185,tap,s
baseline_1,1,corentin,Yes,40,30.0008959770,stimulus,
baseline_1,1,corentin,Yes,40,30.6000530720,tap,s
baseline_1,1,corentin,Yes,41,30.7508831024,stimulus,
baseline_1,1,corentin,Yes,41,31.3671419621,tap,l
baseline_1,1,corentin,Yes,42,31.5009450912,stimulus,
baseline_1,1,corentin,Yes,42,32.1421620846,tap,s
baseline_1,1,corentin,Yes,43,32.2509610653,stimulus,
baseline_1,1,corentin,Yes,43,32.8847141266,tap,s
baseline_1,1,corentin,Yes,44,33.0010581017,stimulus,
baseline_1,1,corentin,Yes,44,33.5301969051,tap,l
baseline_1,1,corentin,Yes,45,33.7509980202,stimulus,
baseline_1,1,corentin,Yes,45,34.3579199314,tap,l
baseline_1,1,corentin,Yes,46,34.5010910034,stimulus,
baseline_1,1,corentin,Yes,46,34.9221479893,tap,s
baseline_1,1,corentin,Yes,47,35.2510719299,stimulus,
baseline_1,1,corentin,Yes,47,35.6932001114,tap,s
baseline_1,1,corentin,Yes,48,36.0010609627,stimulus,
baseline_1,1,corentin,Yes,48,36.5412149429,tap,s
baseline_1,1,corentin,Yes,49,36.7510781288,stimulus,
baseline_1,1,corentin,Yes,49,37.4258220196,tap,l
baseline_1,1,corentin,Yes,50,37.5011520386,stimulus,
baseline_1,1,corentin,Yes,50,38.1361489296,tap,l
baseline_1,1,corentin,Yes,51,38.2511539459,stimulus,
baseline_1,1,corentin,Yes,51,38.9193069935,tap,s
baseline_1,1,corentin,Yes,52,39.0011730194,stimulus,
baseline_1,1,corentin,Yes,52,39.6497440338,tap,s
baseline_1,1,corentin,Yes,53,39.7511520386,stimulus,
baseline_1,1,corentin,Yes,53,40.4452750683,tap,s
baseline_1,1,corentin,Yes,54,40.5012071133,stimulus,
baseline_1,1,corentin,Yes,54,41.2444710732,tap,s
baseline_1,1,corentin,Yes,55,41.2511999607,stimulus,
baseline_1,1,corentin,Yes,55,41.9141969681,tap,l
baseline_1,1,corentin,Yes,56,42.0012099743,stimulus,
baseline_1,1,corentin,Yes,56,42.6325290203,tap,l
baseline_1,1,corentin,Yes,57,42.7512309551,stimulus,
baseline_1,1,corentin,Yes,57,43.3183729649,tap,l
baseline_1,1,corentin,Yes,58,43.5012509823,stimulus,
baseline_1,1,corentin,Yes,58,44.1340949535,tap,l
baseline_1,1,corentin,Yes,59,49.3473100662,probe_task,2
baseline_1,1,corentin, Yes,59,53.4143199921,probe_intention,1
baseline_1,1,corentin,Yes,59,62.5144360065,probe_distraction,1
baseline_1,1,corentin,Yes,60,66.2973101139,stimulus,
baseline_1,1,corentin,Yes,60,67.0471599102,tap,s
baseline_1,1,corentin,Yes,61,67.0482990742,stimulus,
baseline_1,1,corentin,Yes,61,67.7612309456,tap,l
baseline_1,1,corentin,Yes,62,67.7973980904,stimulus,
baseline_1,1,corentin,Yes,62,68.4755239487,tap,l
baseline_1,1,corentin,Yes,63,68.5474169254,stimulus,
baseline_1,1,corentin,Yes,63,69.2384200096,tap,s
baseline_1,1,corentin,Yes,64,69.2974350452,stimulus,
baseline_1,1,corentin,Yes,64,69.9973430634,tap,s
