# {'participant': 'corentin', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._02_1652', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.99696746895231}
condition,block_num,subj, EEG,trial,time, stimulus, response
baseline_3,3,corentin,True,0,0.0003859997,stimulus,
baseline_3,3,corentin,True,0,0.7204959393,tap,l
baseline_3,3,corentin,True,1,0.7501947880,stimulus,
baseline_3,3,corentin,True,1,1.4632608891,tap,s
baseline_3,3,corentin,True,2,1.5002119541,stimulus,
baseline_3,3,corentin,True,2,2.2222218513,tap,s
baseline_3,3,corentin,True,3,2.2502338886,stimulus,
baseline_3,3,corentin,True,3,2.9814147949,tap,s
baseline_3,3,corentin,True,4,3.0002889633,stimulus,
baseline_3,3,corentin,True,4,3.7482488155,tap,l
baseline_3,3,corentin,True,5,3.7502689362,stimulus,
baseline_3,3,corentin,True,5,4.4747378826,tap,l
baseline_3,3,corentin,True,6,4.5002868176,stimulus,
baseline_3,3,corentin,True,7,5.2503099442,stimulus,
baseline_3,3,corentin,True,7,5.3027949333,tap,s
baseline_3,3,corentin,True,7,5.9685728550,tap,l
baseline_3,3,corentin,True,8,6.0003237724,stimulus,
baseline_3,3,corentin,True,8,6.6423299313,tap,s
baseline_3,3,corentin,True,9,6.7503359318,stimulus,
baseline_3,3,corentin,True,9,7.4825518131,tap,s
baseline_3,3,corentin,True,10,7.5003628731,stimulus,
baseline_3,3,corentin,True,11,8.2503769398,stimulus,
baseline_3,3,corentin,True,11,8.9798338413,tap,l
baseline_3,3,corentin,True,12,9.0003888607,stimulus,
baseline_3,3,corentin,True,12,9.7389199734,tap,l
baseline_3,3,corentin,True,13,9.7504389286,stimulus,
baseline_3,3,corentin,True,13,10.4937868118,tap,s
baseline_3,3,corentin,True,14,10.5004279613,stimulus,
baseline_3,3,corentin,True,15,11.2504458427,stimulus,
baseline_3,3,corentin,True,15,11.3055779934,tap,s
baseline_3,3,corentin,True,15,11.9753367901,tap,l
baseline_3,3,corentin,True,16,12.0005078316,stimulus,
baseline_3,3,corentin,True,17,12.7505559921,stimulus,
baseline_3,3,corentin,True,17,12.7515177727,tap,s
baseline_3,3,corentin,True,18,13.5005249977,stimulus,
baseline_3,3,corentin,True,18,13.5259368420,tap,l
baseline_3,3,corentin,True,19,14.2505128384,stimulus,
baseline_3,3,corentin,True,19,14.2605857849,tap,s
baseline_3,3,corentin,True,20,15.0005369186,stimulus,
baseline_3,3,corentin,True,20,15.0885958672,tap,l
baseline_3,3,corentin,True,20,15.7340099812,tap,s
baseline_3,3,corentin,True,21,15.7505688667,stimulus,
baseline_3,3,corentin,True,21,16.4483637810,tap,s
baseline_3,3,corentin,True,22,16.5005998611,stimulus,
baseline_3,3,corentin,True,22,17.1992139816,tap,s
baseline_3,3,corentin,True,23,17.2506029606,stimulus,
baseline_3,3,corentin,True,23,17.9825809002,tap,l
baseline_3,3,corentin,True,24,18.0006058216,stimulus,
baseline_3,3,corentin,True,25,18.7506268024,stimulus,
baseline_3,3,corentin,True,25,18.7781188488,tap,l
baseline_3,3,corentin,True,25,19.4600448608,tap,l
baseline_3,3,corentin,True,26,19.5006439686,stimulus,
baseline_3,3,corentin,True,26,20.1906719208,tap,l
baseline_3,3,corentin,True,27,20.2506649494,stimulus,
baseline_3,3,corentin,True,27,20.8928759098,tap,s
baseline_3,3,corentin,True,28,21.0006828308,stimulus,
baseline_3,3,corentin,True,28,21.5546209812,tap,s
baseline_3,3,corentin,True,29,21.7507209778,stimulus,
baseline_3,3,corentin,True,29,22.4150578976,tap,s
baseline_3,3,corentin,True,30,22.5007247925,stimulus,
baseline_3,3,corentin,True,30,23.2065708637,tap,l
baseline_3,3,corentin,True,31,23.2507419586,stimulus,
baseline_3,3,corentin,True,31,23.9411268234,tap,l
baseline_3,3,corentin,True,32,24.0007648468,stimulus,
baseline_3,3,corentin,True,32,24.7327139378,tap,s
baseline_3,3,corentin,True,33,24.7507989407,stimulus,
baseline_3,3,corentin,True,34,25.5007929802,stimulus,
baseline_3,3,corentin,True,34,25.5080449581,tap,l
baseline_3,3,corentin,True,34,26.1412849426,tap,s
baseline_3,3,corentin,True,35,26.2508108616,stimulus,
baseline_3,3,corentin,True,35,26.9408648014,tap,s
baseline_3,3,corentin,True,36,27.0008289814,stimulus,
baseline_3,3,corentin,True,36,27.6633429527,tap,s
baseline_3,3,corentin,True,37,27.7508399487,stimulus,
baseline_3,3,corentin,True,37,28.3736789227,tap,s
baseline_3,3,corentin,True,38,28.5008609295,stimulus,
baseline_3,3,corentin,True,38,29.0636138916,tap,s
baseline_3,3,corentin,True,39,29.2508819103,stimulus,
baseline_3,3,corentin,True,39,29.8957209587,tap,s
baseline_3,3,corentin,True,40,30.0008969307,stimulus,
baseline_3,3,corentin,True,40,30.6587579250,tap,s
baseline_3,3,corentin,True,41,30.7509219646,stimulus,
baseline_3,3,corentin,True,41,31.3406569958,tap,s
baseline_3,3,corentin,True,42,31.5009319782,stimulus,
baseline_3,3,corentin,True,42,32.1727728844,tap,s
baseline_3,3,corentin,True,43,32.2509598732,stimulus,
baseline_3,3,corentin,True,43,32.8911888599,tap,s
baseline_3,3,corentin,True,44,33.0009799004,stimulus,
baseline_3,3,corentin,True,44,33.7153108120,tap,l
baseline_3,3,corentin,True,45,33.7510049343,stimulus,
baseline_3,3,corentin,True,45,34.4944329262,tap,l
baseline_3,3,corentin,True,46,34.5010228157,stimulus,
baseline_3,3,corentin,True,46,35.1560978889,tap,l
baseline_3,3,corentin,True,47,35.2510588169,stimulus,
baseline_3,3,corentin,True,47,35.9232599735,tap,l
baseline_3,3,corentin,True,48,36.0010569096,stimulus,
baseline_3,3,corentin,True,48,36.7065348625,tap,l
baseline_3,3,corentin,True,49,36.7510938644,stimulus,
baseline_3,3,corentin,True,49,37.4777247906,tap,s
baseline_3,3,corentin,True,50,37.5010979176,stimulus,
baseline_3,3,corentin,True,50,38.1392829418,tap,l
baseline_3,3,corentin,True,51,38.2511179447,stimulus,
baseline_3,3,corentin,True,51,38.9876229763,tap,l
baseline_3,3,corentin,True,52,39.0011317730,stimulus,
baseline_3,3,corentin,True,52,39.5316219330,tap,s
baseline_3,3,corentin,True,53,39.7511727810,stimulus,
baseline_3,3,corentin,True,53,40.4204268456,tap,s
baseline_3,3,corentin,True,54,40.5011727810,stimulus,
baseline_3,3,corentin,True,54,41.2363309860,tap,s
baseline_3,3,corentin,True,55,41.2511928082,stimulus,
baseline_3,3,corentin,True,55,41.9385559559,tap,l
baseline_3,3,corentin,True,56,42.0012149811,stimulus,
baseline_3,3,corentin,True,57,42.7512347698,stimulus,
baseline_3,3,corentin,True,57,42.7907938957,tap,l
baseline_3,3,corentin,True,58,43.5012559891,stimulus,
baseline_3,3,corentin,True,58,43.5579798222,tap,l
baseline_3,3,corentin,True,58,44.2398278713,tap,s
baseline_3,3,corentin,True,59,44.2512738705,stimulus,
baseline_3,3,corentin,True,59,44.9339418411,tap,l
baseline_3,3,corentin,True,60,45.0012907982,stimulus,
baseline_3,3,corentin,True,60,45.6726369858,tap,s
baseline_3,3,corentin,True,61,45.7513067722,stimulus,
baseline_3,3,corentin,True,62,46.5013718605,stimulus,
baseline_3,3,corentin,True,62,46.5452749729,tap,l
baseline_3,3,corentin,True,63,47.2513468266,stimulus,
baseline_3,3,corentin,True,63,47.3610069752,tap,l
baseline_3,3,corentin,True,64,53.3170599937,probe_task,3
baseline_3,3,corentin, True,64,58.1173818111,probe_intention,0
baseline_3,3,corentin,True,64,61.1339647770,probe_distraction,0
baseline_3,3,corentin,True,65,64.9172267914,stimulus,
baseline_3,3,corentin,True,65,64.9216759205,tap,s
baseline_3,3,corentin,True,65,65.6476438046,tap,l
baseline_3,3,corentin,True,66,65.6670429707,stimulus,
baseline_3,3,corentin,True,66,66.3985629082,tap,l
baseline_3,3,corentin,True,67,66.4170677662,stimulus,
baseline_3,3,corentin,True,67,67.1291518211,tap,s
baseline_3,3,corentin,True,68,67.1670877934,stimulus,
baseline_3,3,corentin,True,68,67.8800377846,tap,s
baseline_3,3,corentin,True,69,67.9170958996,stimulus,
baseline_3,3,corentin,True,69,68.5620348454,tap,l
baseline_3,3,corentin,True,70,68.6671199799,stimulus,
baseline_3,3,corentin,True,70,69.3575658798,tap,s
baseline_3,3,corentin,True,71,69.4171359539,stimulus,
baseline_3,3,corentin,True,71,70.1571569443,tap,s
baseline_3,3,corentin,True,72,70.1671478748,stimulus,
baseline_3,3,corentin,True,72,70.8917858601,tap,l
baseline_3,3,corentin,True,73,70.9171638489,stimulus,
baseline_3,3,corentin,True,74,71.6671919823,stimulus,
baseline_3,3,corentin,True,74,71.7116608620,tap,l
baseline_3,3,corentin,True,75,72.4172117710,stimulus,
baseline_3,3,corentin,True,75,72.5031859875,tap,l
baseline_3,3,corentin,True,75,73.1487898827,tap,s
baseline_3,3,corentin,True,76,73.1672649384,stimulus,
baseline_3,3,corentin,True,76,73.8427298069,tap,l
baseline_3,3,corentin,True,77,73.9172399044,stimulus,
baseline_3,3,corentin,True,77,74.5043189526,tap,s
baseline_3,3,corentin,True,78,74.6672549248,stimulus,
baseline_3,3,corentin,True,78,75.3891108036,tap,l
baseline_3,3,corentin,True,79,75.4172708988,stimulus,
baseline_3,3,corentin,True,80,76.1672899723,stimulus,
baseline_3,3,corentin,True,80,76.1682968140,tap,l
baseline_3,3,corentin,True,80,76.8745739460,tap,l
baseline_3,3,corentin,True,81,76.9173028469,stimulus,
baseline_3,3,corentin,True,81,77.6337637901,tap,s
baseline_3,3,corentin,True,82,77.6673269272,stimulus,
baseline_3,3,corentin,True,83,78.4173388481,stimulus,
baseline_3,3,corentin,True,83,78.4373610020,tap,s
baseline_3,3,corentin,True,84,79.1673629284,stimulus,
baseline_3,3,corentin,True,84,79.2126469612,tap,l
baseline_3,3,corentin,True,85,79.9173829556,stimulus,
baseline_3,3,corentin,True,85,80.0730559826,tap,s
baseline_3,3,corentin,True,86,80.6673989296,stimulus,
baseline_3,3,corentin,True,86,80.7265789509,tap,s
baseline_3,3,corentin,True,87,81.4174218178,stimulus,
baseline_3,3,corentin,True,87,81.4570848942,tap,l
baseline_3,3,corentin,True,88,82.1674339771,stimulus,
baseline_3,3,corentin,True,88,82.2040438652,tap,l
baseline_3,3,corentin,True,89,82.9174578190,stimulus,
baseline_3,3,corentin,True,89,82.9711658955,tap,s
baseline_3,3,corentin,True,90,83.6674678326,stimulus,
baseline_3,3,corentin,True,90,83.7058877945,tap,l
baseline_3,3,corentin,True,91,84.4174928665,stimulus,
baseline_3,3,corentin,True,91,84.4527418613,tap,s
baseline_3,3,corentin,True,92,85.1675028801,stimulus,
baseline_3,3,corentin,True,92,85.2156898975,tap,l
baseline_3,3,corentin,True,93,85.9175858498,stimulus,
baseline_3,3,corentin,True,93,85.9787988663,tap,l
baseline_3,3,corentin,True,94,86.6675858498,stimulus,
baseline_3,3,corentin,True,94,86.7377228737,tap,s
baseline_3,3,corentin,True,95,87.4176027775,stimulus,
baseline_3,3,corentin,True,95,87.4642989635,tap,s
baseline_3,3,corentin,True,95,88.1664757729,tap,l
baseline_3,3,corentin,True,96,88.1675879955,stimulus,
baseline_3,3,corentin,True,97,88.9175889492,stimulus,
baseline_3,3,corentin,True,97,88.9458978176,tap,l
baseline_3,3,corentin,True,98,89.6676588058,stimulus,
baseline_3,3,corentin,True,98,89.6927189827,tap,s
baseline_3,3,corentin,True,99,90.4176418781,stimulus,
baseline_3,3,corentin,True,99,90.4314939976,tap,l
baseline_3,3,corentin,True,99,91.1620988846,tap,s
baseline_3,3,corentin,True,100,91.1676609516,stimulus,
baseline_3,3,corentin,True,101,91.9176437855,stimulus,
baseline_3,3,corentin,True,101,91.9779448509,tap,l
baseline_3,3,corentin,True,101,92.6640248299,tap,l
baseline_3,3,corentin,True,102,92.6676838398,stimulus,
baseline_3,3,corentin,True,102,93.3580288887,tap,s
baseline_3,3,corentin,True,103,93.4176969528,stimulus,
baseline_3,3,corentin,True,104,94.1677119732,stimulus,
baseline_3,3,corentin,True,104,94.1779379845,tap,s
baseline_3,3,corentin,True,105,94.9177298546,stimulus,
baseline_3,3,corentin,True,105,94.9289028645,tap,l
baseline_3,3,corentin,True,105,95.6513488293,tap,s
baseline_3,3,corentin,True,106,95.6677517891,stimulus,
baseline_3,3,corentin,True,107,96.4177498817,stimulus,
baseline_3,3,corentin,True,107,96.4469709396,tap,l
baseline_3,3,corentin,True,108,97.1677939892,stimulus,
