# {'participant': 'corentin', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._02_1734', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.99267667521054}
condition, block_num,subj, EEG,trial,time, stimulus, response
baseline_5,5,corentin,True,0,0.0001850128,stimulus,
baseline_5,5,corentin,True,0,0.3673870564,tap,l
baseline_5,5,corentin,True,1,0.7502100468,stimulus,
baseline_5,5,corentin,True,1,1.0981740952,tap,s
baseline_5,5,corentin,True,2,1.5001931190,stimulus,
baseline_5,5,corentin,True,2,1.8898620605,tap,s
baseline_5,5,corentin,True,3,2.2502110004,stimulus,
baseline_5,5,corentin,True,3,2.5719161034,tap,s
baseline_5,5,corentin,True,4,3.0002231598,stimulus,
baseline_5,5,corentin,True,4,3.3555531502,tap,l
baseline_5,5,corentin,True,5,3.7502410412,stimulus,
baseline_5,5,corentin,True,5,4.1836781502,tap,l
baseline_5,5,corentin,True,6,4.5002629757,stimulus,
baseline_5,5,corentin,True,6,5.0809710026,tap,l
baseline_5,5,corentin,True,7,5.2502920628,stimulus,
baseline_5,5,corentin,True,7,5.9131319523,tap,s
baseline_5,5,corentin,True,8,6.0002901554,stimulus,
baseline_5,5,corentin,True,8,6.6641330719,tap,l
baseline_5,5,corentin,True,9,6.7503030300,stimulus,
baseline_5,5,corentin,True,9,7.4881980419,tap,s
baseline_5,5,corentin,True,10,7.5003249645,stimulus,
baseline_5,5,corentin,True,10,8.2149441242,tap,l
baseline_5,5,corentin,True,11,8.2503340244,stimulus,
baseline_5,5,corentin,True,11,8.9985921383,tap,s
baseline_5,5,corentin,True,12,9.0003550053,stimulus,
baseline_5,5,corentin,True,12,9.7417051792,tap,l
baseline_5,5,corentin,True,13,9.7503721714,stimulus,
baseline_5,5,corentin,True,14,10.5003859997,stimulus,
baseline_5,5,corentin,True,14,10.5049121380,tap,s
baseline_5,5,corentin,True,15,11.2504019737,stimulus,
baseline_5,5,corentin,True,15,11.4020330906,tap,l
baseline_5,5,corentin,True,16,12.0004150867,stimulus,
baseline_5,5,corentin,True,16,12.1409771442,tap,s
baseline_5,5,corentin,True,17,12.7504379749,stimulus,
baseline_5,5,corentin,True,17,12.7580280304,tap,l
baseline_5,5,corentin,True,18,13.5004611015,stimulus,
baseline_5,5,corentin,True,18,13.5335290432,tap,s
baseline_5,5,corentin,True,19,14.2504770756,stimulus,
baseline_5,5,corentin,True,19,14.4143400192,tap,s
baseline_5,5,corentin,True,20,15.0004949570,stimulus,
baseline_5,5,corentin,True,20,15.1249060631,tap,l
baseline_5,5,corentin,True,21,15.7505130768,stimulus,
baseline_5,5,corentin,True,21,15.8394851685,tap,s
baseline_5,5,corentin,True,22,16.5005321503,stimulus,
baseline_5,5,corentin,True,22,16.5702929497,tap,l
baseline_5,5,corentin,True,23,17.2505500317,stimulus,
baseline_5,5,corentin,True,23,17.3173940182,tap,s
baseline_5,5,corentin,True,24,18.0005681515,stimulus,
baseline_5,5,corentin,True,24,18.0197281837,tap,s
baseline_5,5,corentin,True,24,18.7098400593,tap,l
baseline_5,5,corentin,True,25,18.7505881786,stimulus,
baseline_5,5,corentin,True,25,19.4893419743,tap,l
baseline_5,5,corentin,True,26,19.5006020069,stimulus,
baseline_5,5,corentin,True,26,20.2160911560,tap,s
baseline_5,5,corentin,True,27,20.2506260872,stimulus,
baseline_5,5,corentin,True,27,20.9387149811,tap,s
baseline_5,5,corentin,True,28,21.0006470680,stimulus,
baseline_5,5,corentin,True,28,21.7223570347,tap,l
baseline_5,5,corentin,True,29,21.7506620884,stimulus,
baseline_5,5,corentin,True,29,22.3800501823,tap,s
baseline_5,5,corentin,True,30,22.5006830692,stimulus,
baseline_5,5,corentin,True,30,23.2488460541,tap,l
baseline_5,5,corentin,True,31,23.2507030964,stimulus,
baseline_5,5,corentin,True,32,24.0007240772,stimulus,
baseline_5,5,corentin,True,32,24.0526740551,tap,l
baseline_5,5,corentin,True,33,24.7507369518,stimulus,
baseline_5,5,corentin,True,33,24.7996411324,tap,l
baseline_5,5,corentin,True,34,25.5007531643,stimulus,
baseline_5,5,corentin,True,34,25.5589699745,tap,s
baseline_5,5,corentin,True,35,26.2507719994,stimulus,
baseline_5,5,corentin,True,35,26.3506031036,tap,s
