# {'participant': 'corentin', 'session': 'randTMS', 'EEG': 'Yes', 'date': '2022_févr._02_1713', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.01138903276207}
condition, block_num,subj, EEG,trial,time, stimulus, response
sham_arrhTMS_4,4,corentin,True,0,0.0008881092,stimulus,
sham_arrhTMS_4,4,corentin,True,0,0.3095180988,tap,l
sham_arrhTMS_4,4,corentin,True,1,0.7507500648,stimulus,
sham_arrhTMS_4,4,corentin,True,1,0.8333590031,tap,l
sham_arrhTMS_4,4,corentin,True,2,1.5007710457,stimulus,
sham_arrhTMS_4,4,corentin,True,2,1.5357511044,tap,l
sham_arrhTMS_4,4,corentin,True,2,2.2299599648,tap,s
sham_arrhTMS_4,4,corentin,True,3,2.2508089542,stimulus,
sham_arrhTMS_4,4,corentin,True,3,2.9810371399,tap,l
sham_arrhTMS_4,4,corentin,True,4,3.0008730888,stimulus,
sham_arrhTMS_4,4,corentin,True,4,3.7197830677,tap,l
sham_arrhTMS_4,4,corentin,True,5,3.7508831024,stimulus,
sham_arrhTMS_4,4,corentin,True,1,3.9536399841,pulse,NA
sham_arrhTMS_4,4,corentin,True,2,4.0533959866,pulse,NA
sham_arrhTMS_4,4,corentin,True,3,4.1964690685,pulse,NA
sham_arrhTMS_4,4,corentin,True,5,4.4553358555,pulse,NA
sham_arrhTMS_4,4,corentin,True,5,4.4708609581,tap,s
sham_arrhTMS_4,4,corentin,True,6,4.5008690357,stimulus,
sham_arrhTMS_4,4,corentin,True,6,5.1813399792,tap,l
sham_arrhTMS_4,4,corentin,True,7,5.2508859634,stimulus,
sham_arrhTMS_4,4,corentin,True,7,5.9811251163,tap,s
sham_arrhTMS_4,4,corentin,True,8,6.0009000301,stimulus,
sham_arrhTMS_4,4,corentin,True,8,6.7078690529,tap,l
sham_arrhTMS_4,4,corentin,True,9,6.7509200573,stimulus,
sham_arrhTMS_4,4,corentin,True,10,7.5009360313,stimulus,
sham_arrhTMS_4,4,corentin,True,5,7.5015859604,pulse,NA
sham_arrhTMS_4,4,corentin,True,10,7.5481050014,tap,s
sham_arrhTMS_4,4,corentin,True,6,7.6340708733,pulse,NA
sham_arrhTMS_4,4,corentin,True,7,7.7745358944,pulse,NA
sham_arrhTMS_4,4,corentin,True,9,8.0032870770,pulse,NA
sham_arrhTMS_4,4,corentin,True,10,8.1977441311,tap,l
sham_arrhTMS_4,4,corentin,True,11,8.2509250641,stimulus,
sham_arrhTMS_4,4,corentin,True,11,8.9243891239,tap,s
sham_arrhTMS_4,4,corentin,True,12,9.0009760857,stimulus,
sham_arrhTMS_4,4,corentin,True,12,9.6835250854,tap,s
sham_arrhTMS_4,4,corentin,True,13,9.7509901524,stimulus,
sham_arrhTMS_4,4,corentin,True,13,10.4103140831,tap,s
sham_arrhTMS_4,4,corentin,True,14,10.5010111332,stimulus,
sham_arrhTMS_4,4,corentin,True,14,11.0760490894,tap,l
sham_arrhTMS_4,4,corentin,True,15,11.2510480881,stimulus,
sham_arrhTMS_4,4,corentin,True,15,11.8637261391,tap,l
sham_arrhTMS_4,4,corentin,True,16,12.0010781288,stimulus,
sham_arrhTMS_4,4,corentin,True,16,12.7039129734,tap,s
sham_arrhTMS_4,4,corentin,True,17,12.7510740757,stimulus,
sham_arrhTMS_4,4,corentin,True,9,12.8974690437,pulse,NA
sham_arrhTMS_4,4,corentin,True,10,13.0238518715,pulse,NA
sham_arrhTMS_4,4,corentin,True,11,13.1462769508,pulse,NA
sham_arrhTMS_4,4,corentin,True,13,13.3994128704,pulse,NA
sham_arrhTMS_4,4,corentin,True,17,13.4672091007,tap,s
sham_arrhTMS_4,4,corentin,True,18,13.5011000633,stimulus,
sham_arrhTMS_4,4,corentin,True,18,14.0964319706,tap,l
sham_arrhTMS_4,4,corentin,True,19,14.2513720989,stimulus,
sham_arrhTMS_4,4,corentin,True,19,14.8636479378,tap,l
sham_arrhTMS_4,4,corentin,True,20,15.0011260509,stimulus,
sham_arrhTMS_4,4,corentin,True,20,15.6470949650,tap,l
sham_arrhTMS_4,4,corentin,True,21,15.7511501312,stimulus,
sham_arrhTMS_4,4,corentin,True,21,16.3413710594,tap,s
sham_arrhTMS_4,4,corentin,True,22,16.5011639595,stimulus,
sham_arrhTMS_4,4,corentin,True,22,17.1411650181,tap,s
sham_arrhTMS_4,4,corentin,True,23,17.2511820793,stimulus,
sham_arrhTMS_4,4,corentin,True,23,17.9733221531,tap,s
sham_arrhTMS_4,4,corentin,True,13,17.9860820770,pulse,NA
sham_arrhTMS_4,4,corentin,True,24,18.0012049675,stimulus,
sham_arrhTMS_4,4,corentin,True,14,18.0712509155,pulse,NA
sham_arrhTMS_4,4,corentin,True,15,18.1925690174,pulse,NA
sham_arrhTMS_4,4,corentin,True,17,18.4878590107,pulse,NA
sham_arrhTMS_4,4,corentin,True,24,18.6268789768,tap,s
sham_arrhTMS_4,4,corentin,True,25,18.7512230873,stimulus,
sham_arrhTMS_4,4,corentin,True,25,19.4185130596,tap,l
sham_arrhTMS_4,4,corentin,True,26,19.5012390614,stimulus,
sham_arrhTMS_4,4,corentin,True,27,20.2512581348,stimulus,
sham_arrhTMS_4,4,corentin,True,27,20.2709529400,tap,l
sham_arrhTMS_4,4,corentin,True,27,20.9733741283,tap,l
sham_arrhTMS_4,4,corentin,True,28,21.0013270378,stimulus,
sham_arrhTMS_4,4,corentin,True,17,21.5064558983,pulse,NA
sham_arrhTMS_4,4,corentin,True,18,21.6472868919,pulse,NA
sham_arrhTMS_4,4,corentin,True,28,21.6997931004,tap,l
sham_arrhTMS_4,4,corentin,True,29,21.7513389587,stimulus,
sham_arrhTMS_4,4,corentin,True,19,21.7980010509,pulse,NA
sham_arrhTMS_4,4,corentin,True,21,22.0081639290,pulse,NA
sham_arrhTMS_4,4,corentin,True,29,22.3131380081,tap,l
sham_arrhTMS_4,4,corentin,True,30,22.5013220310,stimulus,
sham_arrhTMS_4,4,corentin,True,30,23.1087939739,tap,l
sham_arrhTMS_4,4,corentin,True,31,23.2513229847,stimulus,
sham_arrhTMS_4,4,corentin,True,31,23.9895870686,tap,s
sham_arrhTMS_4,4,corentin,True,32,24.0013229847,stimulus,
sham_arrhTMS_4,4,corentin,True,33,24.7513959408,stimulus,
sham_arrhTMS_4,4,corentin,True,33,24.7528960705,tap,s
sham_arrhTMS_4,4,corentin,True,33,25.4064729214,tap,s
sham_arrhTMS_4,4,corentin,True,34,25.5013949871,stimulus,
sham_arrhTMS_4,4,corentin,True,34,26.1899869442,tap,l
sham_arrhTMS_4,4,corentin,True,35,26.2514150143,stimulus,
sham_arrhTMS_4,4,corentin,True,21,26.4121980667,pulse,NA
sham_arrhTMS_4,4,corentin,True,22,26.4763269424,pulse,NA
sham_arrhTMS_4,4,corentin,True,23,26.5385918617,pulse,NA
sham_arrhTMS_4,4,corentin,True,25,26.9139499664,pulse,NA
sham_arrhTMS_4,4,corentin,True,35,26.9491059780,tap,s
sham_arrhTMS_4,4,corentin,True,36,27.0014121532,stimulus,
sham_arrhTMS_4,4,corentin,True,36,27.6515021324,tap,s
sham_arrhTMS_4,4,corentin,True,37,27.7514281273,stimulus,
sham_arrhTMS_4,4,corentin,True,38,28.5014529228,stimulus,
sham_arrhTMS_4,4,corentin,True,38,28.9826440811,tap,s
sham_arrhTMS_4,4,corentin,True,39,29.2514691353,stimulus,
sham_arrhTMS_4,4,corentin,True,39,29.8839030266,tap,l
sham_arrhTMS_4,4,corentin,True,40,30.0014910698,stimulus,
sham_arrhTMS_4,4,corentin,True,25,30.2397360802,pulse,NA
sham_arrhTMS_4,4,corentin,True,26,30.3100008965,pulse,NA
sham_arrhTMS_4,4,corentin,True,27,30.3974809647,pulse,NA
sham_arrhTMS_4,4,corentin,True,40,30.5700380802,tap,s
sham_arrhTMS_4,4,corentin,True,29,30.7415120602,pulse,NA
sham_arrhTMS_4,4,corentin,True,41,30.7515070438,stimulus,
sham_arrhTMS_4,4,corentin,True,41,31.3737540245,tap,l
sham_arrhTMS_4,4,corentin,True,42,31.5015280247,stimulus,
sham_arrhTMS_4,4,corentin,True,42,32.2182199955,tap,l
sham_arrhTMS_4,4,corentin,True,43,32.2515370846,stimulus,
sham_arrhTMS_4,4,corentin,True,43,32.9529399872,tap,l
sham_arrhTMS_4,4,corentin,True,44,33.0015621185,stimulus,
sham_arrhTMS_4,4,corentin,True,44,33.6839570999,tap,l
sham_arrhTMS_4,4,corentin,True,45,33.7515821457,stimulus,
sham_arrhTMS_4,4,corentin,True,45,34.3620090485,tap,s
sham_arrhTMS_4,4,corentin,True,46,34.5015931129,stimulus,
sham_arrhTMS_4,4,corentin,True,29,34.7139348984,pulse,NA
sham_arrhTMS_4,4,corentin,True,30,34.8172519207,pulse,NA
sham_arrhTMS_4,4,corentin,True,31,34.8592820168,pulse,NA
sham_arrhTMS_4,4,corentin,True,46,35.0846340656,tap,s
sham_arrhTMS_4,4,corentin,True,33,35.2160439491,pulse,NA
sham_arrhTMS_4,4,corentin,True,47,35.2516291142,stimulus,
sham_arrhTMS_4,4,corentin,True,47,35.7828459740,tap,s
sham_arrhTMS_4,4,corentin,True,48,36.0016500950,stimulus,
sham_arrhTMS_4,4,corentin,True,48,36.5744750500,tap,l
sham_arrhTMS_4,4,corentin,True,49,36.7516710758,stimulus,
sham_arrhTMS_4,4,corentin,True,49,37.2888641357,tap,l
sham_arrhTMS_4,4,corentin,True,50,37.5016829967,stimulus,
sham_arrhTMS_4,4,corentin,True,50,38.0602319241,tap,l
sham_arrhTMS_4,4,corentin,True,51,38.2516629696,stimulus,
sham_arrhTMS_4,4,corentin,True,33,38.4933550358,pulse,NA
sham_arrhTMS_4,4,corentin,True,34,38.5380840302,pulse,NA
sham_arrhTMS_4,4,corentin,True,35,38.6813230515,pulse,NA
sham_arrhTMS_4,4,corentin,True,51,38.8194501400,tap,l
sham_arrhTMS_4,4,corentin,True,37,38.9951069355,pulse,NA
sham_arrhTMS_4,4,corentin,True,52,39.0017149448,stimulus,
sham_arrhTMS_4,4,corentin,True,52,39.6110129356,tap,s
sham_arrhTMS_4,4,corentin,True,53,39.7517600060,stimulus,
sham_arrhTMS_4,4,corentin,True,53,40.3945410252,tap,l
sham_arrhTMS_4,4,corentin,True,54,40.5017530918,stimulus,
sham_arrhTMS_4,4,corentin,True,54,41.1618659496,tap,s
sham_arrhTMS_4,4,corentin,True,55,41.2517640591,stimulus,
sham_arrhTMS_4,4,corentin,True,55,41.9835889339,tap,s
sham_arrhTMS_4,4,corentin,True,56,42.0017881393,stimulus,
sham_arrhTMS_4,4,corentin,True,37,42.4534990788,pulse,NA
sham_arrhTMS_4,4,corentin,True,38,42.6118290424,pulse,NA
sham_arrhTMS_4,4,corentin,True,39,42.6751449108,pulse,NA
sham_arrhTMS_4,4,corentin,True,57,42.7518100739,stimulus,
sham_arrhTMS_4,4,corentin,True,57,42.8175349236,tap,l
sham_arrhTMS_4,4,corentin,True,41,42.9554719925,pulse,NA
sham_arrhTMS_4,4,corentin,True,58,43.5018250942,stimulus,
sham_arrhTMS_4,4,corentin,True,58,43.5806789398,tap,l
sham_arrhTMS_4,4,corentin,True,59,44.2518420219,stimulus,
sham_arrhTMS_4,4,corentin,True,59,44.3397970200,tap,l
sham_arrhTMS_4,4,corentin,True,60,45.0018651485,stimulus,
sham_arrhTMS_4,4,corentin,True,60,45.2856030464,tap,s
sham_arrhTMS_4,4,corentin,True,61,45.7518820763,stimulus,
sham_arrhTMS_4,4,corentin,True,61,45.9149880409,tap,s
sham_arrhTMS_4,4,corentin,True,62,46.5019011497,stimulus,
sham_arrhTMS_4,4,corentin,True,62,46.5199551582,tap,l
sham_arrhTMS_4,4,corentin,True,41,47.1400289536,pulse,NA
sham_arrhTMS_4,4,corentin,True,63,47.2519209385,stimulus,
sham_arrhTMS_4,4,corentin,True,42,47.2535719872,pulse,NA
sham_arrhTMS_4,4,corentin,True,63,47.2709491253,tap,l
sham_arrhTMS_4,4,corentin,True,43,47.3920638561,pulse,NA
sham_arrhTMS_4,4,corentin,True,45,47.6420509815,pulse,NA
sham_arrhTMS_4,4,corentin,True,63,47.8518340588,tap,l
sham_arrhTMS_4,4,corentin,True,64,48.0019350052,stimulus,
sham_arrhTMS_4,4,corentin,True,64,48.6350381374,tap,l
sham_arrhTMS_4,4,corentin,True,65,48.7519609928,stimulus,
sham_arrhTMS_4,4,corentin,True,65,49.3536219597,tap,l
sham_arrhTMS_4,4,corentin,True,66,49.5019731522,stimulus,
sham_arrhTMS_4,4,corentin,True,66,49.9706430435,tap,l
sham_arrhTMS_4,4,corentin,True,67,50.2519879341,stimulus,
sham_arrhTMS_4,4,corentin,True,67,50.7704329491,tap,s
sham_arrhTMS_4,4,corentin,True,68,51.0020000935,stimulus,
sham_arrhTMS_4,4,corentin,True,45,51.6094939709,pulse,NA
sham_arrhTMS_4,4,corentin,True,68,51.6350519657,tap,s
sham_arrhTMS_4,4,corentin,True,46,51.6485478878,pulse,NA
sham_arrhTMS_4,4,corentin,True,47,51.6780500412,pulse,NA
sham_arrhTMS_4,4,corentin,True,69,51.7520179749,stimulus,
sham_arrhTMS_4,4,corentin,True,49,52.1112380028,pulse,NA
sham_arrhTMS_4,4,corentin,True,69,52.3698060513,tap,s
sham_arrhTMS_4,4,corentin,True,70,52.5020380020,stimulus,
sham_arrhTMS_4,4,corentin,True,70,53.0920000076,tap,s
sham_arrhTMS_4,4,corentin,True,71,53.2520980835,stimulus,
sham_arrhTMS_4,4,corentin,True,71,53.7948219776,tap,l
sham_arrhTMS_4,4,corentin,True,72,54.0021030903,stimulus,
sham_arrhTMS_4,4,corentin,True,72,54.5578820705,tap,l
sham_arrhTMS_4,4,corentin,True,73,54.7520999908,stimulus,
sham_arrhTMS_4,4,corentin,True,73,55.2360150814,tap,l
sham_arrhTMS_4,4,corentin,True,74,55.5021200180,stimulus,
sham_arrhTMS_4,4,corentin,True,49,55.7392940521,pulse,NA
sham_arrhTMS_4,4,corentin,True,50,55.8534009457,pulse,NA
sham_arrhTMS_4,4,corentin,True,51,55.9660370350,pulse,NA
sham_arrhTMS_4,4,corentin,True,74,56.0479080677,tap,s
sham_arrhTMS_4,4,corentin,True,53,56.2410850525,pulse,NA
sham_arrhTMS_4,4,corentin,True,75,56.2521359921,stimulus,
sham_arrhTMS_4,4,corentin,True,75,56.6974530220,tap,s
sham_arrhTMS_4,4,corentin,True,76,57.0021579266,stimulus,
sham_arrhTMS_4,4,corentin,True,76,57.5214509964,tap,s
sham_arrhTMS_4,4,corentin,True,77,57.7521719933,stimulus,
sham_arrhTMS_4,4,corentin,True,77,58.3372941017,tap,l
sham_arrhTMS_4,4,corentin,True,78,58.5021860600,stimulus,
sham_arrhTMS_4,4,corentin,True,78,59.0639960766,tap,l
sham_arrhTMS_4,4,corentin,True,79,59.2522079945,stimulus,
sham_arrhTMS_4,4,corentin,True,79,59.8394579887,tap,l
sham_arrhTMS_4,4,corentin,True,80,60.0022261143,stimulus,
sham_arrhTMS_4,4,corentin,True,80,60.6066820621,tap,s
sham_arrhTMS_4,4,corentin,True,53,60.7481729984,pulse,NA
sham_arrhTMS_4,4,corentin,True,81,60.7522461414,stimulus,
sham_arrhTMS_4,4,corentin,True,54,60.8591220379,pulse,NA
sham_arrhTMS_4,4,corentin,True,55,60.8879759312,pulse,NA
sham_arrhTMS_4,4,corentin,True,57,61.2499320507,pulse,NA
sham_arrhTMS_4,4,corentin,True,81,61.3253741264,tap,s
sham_arrhTMS_4,4,corentin,True,82,61.5022699833,stimulus,
sham_arrhTMS_4,4,corentin,True,82,62.1168799400,tap,l
sham_arrhTMS_4,4,corentin,True,83,62.2522830963,stimulus,
sham_arrhTMS_4,4,corentin,True,83,62.7990281582,tap,l
sham_arrhTMS_4,4,corentin,True,84,63.0022950172,stimulus,
sham_arrhTMS_4,4,corentin,True,84,63.5174660683,tap,l
sham_arrhTMS_4,4,corentin,True,85,63.7523109913,stimulus,
sham_arrhTMS_4,4,corentin,True,85,64.3577771187,tap,l
sham_arrhTMS_4,4,corentin,True,86,64.5023820400,stimulus,
sham_arrhTMS_4,4,corentin,True,86,65.1819341183,tap,l
sham_arrhTMS_4,4,corentin,True,87,65.2523779869,stimulus,
sham_arrhTMS_4,4,corentin,True,57,65.3307960033,pulse,NA
sham_arrhTMS_4,4,corentin,True,58,65.4911260605,pulse,NA
sham_arrhTMS_4,4,corentin,True,59,65.6186890602,pulse,NA
sham_arrhTMS_4,4,corentin,True,61,65.8326740265,pulse,NA
sham_arrhTMS_4,4,corentin,True,88,66.0023779869,stimulus,
sham_arrhTMS_4,4,corentin,True,88,66.0221569538,tap,l
sham_arrhTMS_4,4,corentin,True,88,66.7286570072,tap,l
sham_arrhTMS_4,4,corentin,True,89,66.7524039745,stimulus,
sham_arrhTMS_4,4,corentin,True,89,67.4066820145,tap,l
sham_arrhTMS_4,4,corentin,True,90,67.5024650097,stimulus,
sham_arrhTMS_4,4,corentin,True,90,68.1252751350,tap,l
sham_arrhTMS_4,4,corentin,True,91,68.2524659634,stimulus,
sham_arrhTMS_4,4,corentin,True,91,68.7748329639,tap,l
sham_arrhTMS_4,4,corentin,True,61,68.9347729683,pulse,NA
sham_arrhTMS_4,4,corentin,True,92,69.0024700165,stimulus,
sham_arrhTMS_4,4,corentin,True,62,69.0147209167,pulse,NA
sham_arrhTMS_4,4,corentin,True,63,69.1717309952,pulse,NA
sham_arrhTMS_4,4,corentin,True,65,69.4365689754,pulse,NA
sham_arrhTMS_4,4,corentin,True,92,69.6638889313,tap,l
sham_arrhTMS_4,4,corentin,True,93,69.7524719238,stimulus,
sham_arrhTMS_4,4,corentin,True,93,70.4108641148,tap,l
sham_arrhTMS_4,4,corentin,True,94,70.5024919510,stimulus,
sham_arrhTMS_4,4,corentin,True,94,71.1619420052,tap,l
sham_arrhTMS_4,4,corentin,True,95,71.2525069714,stimulus,
sham_arrhTMS_4,4,corentin,True,95,71.9534690380,tap,s
sham_arrhTMS_4,4,corentin,True,96,72.0025260448,stimulus,
sham_arrhTMS_4,4,corentin,True,65,72.4802968502,pulse,NA
sham_arrhTMS_4,4,corentin,True,66,72.6298139095,pulse,NA
sham_arrhTMS_4,4,corentin,True,96,72.7207040787,tap,s
