# {'participant': 'guillaume', 'age': '22', 'sex': 'M', 'session': 'N', 'EEG': 'No', 'Block number': '1', 'duration in min': '10', 'P.freq': '2: 20-40 s', 'date': '2022_févr._22_1524', 'expName': 'FT-RSGT', 'frameRate': 59.98975928601055}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_1,guillaume,22,M,1,False,2_probes_min,0,0.0001959801,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,0,0.3659379482,tap,l
baseline_1,guillaume,22,M,1,False,2_probes_min,1,0.7500729561,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,2,1.5000839233,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,2,1.7820799351,tap,l
baseline_1,guillaume,22,M,1,False,2_probes_min,3,2.2501029968,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,3,2.5302350521,tap,s
baseline_1,guillaume,22,M,1,False,2_probes_min,4,3.0001530647,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,4,3.3177618980,tap,l
baseline_1,guillaume,22,M,1,False,2_probes_min,5,3.7501420975,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,5,4.0264899731,tap,l
baseline_1,guillaume,22,M,1,False,2_probes_min,6,4.5001549721,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,6,4.7746629715,tap,s
baseline_1,guillaume,22,M,1,False,2_probes_min,7,5.2501680851,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,7,5.5293829441,tap,s
baseline_1,guillaume,22,M,1,False,2_probes_min,8,6.0001859665,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,8,6.3146998882,tap,l
baseline_1,guillaume,22,M,1,False,2_probes_min,9,6.7502079010,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,9,7.0236020088,tap,s
baseline_1,guillaume,22,M,1,False,2_probes_min,10,7.5002269745,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,10,7.8110389709,tap,s
baseline_1,guillaume,22,M,1,False,2_probes_min,11,8.2502470016,stimulus,
baseline_1,guillaume,22,M,1,False,2_probes_min,11,8.5591878891,tap,s
