# {'participant': 'guillaume', 'age': '22', 'sex': 'M', 'session': 'N', 'EEG': 'No', 'Block number': '2', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_févr._22_1546', 'expName': 'FT-RSGT', 'frameRate': 59.97543387522754}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_2,guillaume,22,M,2,False,1_probe_min,0,0.0002038479,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,0,0.4786000252,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,1,0.7501249313,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,1,1.1484169960,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,2,1.5000920296,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,2,1.8966119289,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,3,2.2501139641,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,3,2.8021550179,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,4,3.0001308918,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,4,3.4325370789,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,5,3.7501549721,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,5,4.1960349083,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,6,4.5001759529,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,6,4.8657550812,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,7,5.2501928806,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,7,5.5354690552,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,8,6.0002110004,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,8,6.4409899712,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,9,6.7502310276,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,9,7.1500139236,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,10,7.5002460480,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,10,7.8590369225,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,11,8.2502639294,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,11,8.6116828918,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,12,9.0002830029,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,12,9.3992898464,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,13,9.7503039837,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,13,10.1476089954,tap,s
baseline_2,guillaume,22,M,2,False,1_probe_min,14,10.5003259182,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,14,10.9352438450,tap,l
baseline_2,guillaume,22,M,2,False,1_probe_min,15,11.2503380775,stimulus,
baseline_2,guillaume,22,M,2,False,1_probe_min,15,11.6442708969,tap,l
