# {'participant': 'guillaume', 'age': '22', 'sex': 'M', 'session': 'training', 'EEG': 'No', 'Block number': '1', 'duration in min': '10', 'P.freq': '2: 20-40 s', 'date': '2022_févr._22_1516', 'expName': 'FT-RSGT', 'frameRate': 59.98581268163199}
subj, age,sex,block_num,EEG,trial,time, stimulus, response
guillaume,22,M,1,False,0,0.0001142025,stimulus,
guillaume,22,M,1,False,0,0.3224461079,tap,s
guillaume,22,M,1,False,1,0.7500600815,stimulus,
guillaume,22,M,1,False,1,0.9919321537,tap,l
guillaume,22,M,1,False,2,1.5000782013,stimulus,
guillaume,22,M,1,False,2,1.7008361816,tap,s
guillaume,22,M,1,False,3,2.2500960827,stimulus,
guillaume,22,M,1,False,3,2.4097971916,tap,s
guillaume,22,M,1,False,4,3.0001130104,stimulus,
guillaume,22,M,1,False,4,3.2124750614,tap,l
guillaume,22,M,1,False,5,3.7501261234,stimulus,
guillaume,22,M,1,False,5,3.9999880791,tap,s
guillaume,22,M,1,False,6,4.5001411438,stimulus,
guillaume,22,M,1,False,6,4.7876322269,tap,s
guillaume,22,M,1,False,7,5.2501580715,stimulus,
guillaume,22,M,1,False,7,5.5357551575,tap,s
guillaume,22,M,1,False,8,6.0001800060,stimulus,
guillaume,22,M,1,False,8,6.3232851028,tap,l
guillaume,22,M,1,False,9,6.7501950264,stimulus,
guillaume,22,M,1,False,9,6.9929301739,tap,l
guillaume,22,M,1,False,10,7.5002140999,stimulus,
guillaume,22,M,1,False,10,7.7018370628,tap,s
guillaume,22,M,1,False,11,8.2502281666,stimulus,
guillaume,22,M,1,False,11,8.4652221203,tap,l
guillaume,22,M,1,False,12,9.0002450943,stimulus,
guillaume,22,M,1,False,12,9.1348900795,tap,l
guillaume,22,M,1,False,13,9.7502570152,stimulus,
guillaume,22,M,1,False,13,10.0796091557,tap,l
guillaume,22,M,1,False,14,10.5002710819,stimulus,
guillaume,22,M,1,False,14,10.8670740128,tap,l
guillaume,22,M,1,False,15,11.2502892017,stimulus,
guillaume,22,M,1,False,15,11.6153430939,tap,s
guillaume,22,M,1,False,16,12.0003120899,stimulus,
guillaume,22,M,1,False,16,12.3635911942,tap,l
guillaume,22,M,1,False,17,12.7503321171,stimulus,
guillaume,22,M,1,False,18,13.5003461838,stimulus,
guillaume,22,M,1,False,18,13.9369962215,tap,l
guillaume,22,M,1,False,19,14.2503690720,stimulus,
guillaume,22,M,1,False,19,14.6610870361,tap,l
guillaume,22,M,1,False,19,19.7818250656,probe_task,3
guillaume,22,M,1,False,19,23.2814922333,probe_intention,3
guillaume,22,M,1,False,19,95.9788661003,probe_content,3
guillaume,22,M,1,False,19,98.5453860760,probe_somnolence,3
