# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1646', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00640937600146}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,0,0.0003409386,stimulus,
juan-carlos,True,0,0.4304330349,tap,s
juan-carlos,True,1,0.7501909733,stimulus,
juan-carlos,True,1,1.0066850185,tap,s
juan-carlos,True,2,1.5001990795,stimulus,
juan-carlos,True,2,1.5625901222,tap,l
juan-carlos,True,2,2.2402338982,tap,s
juan-carlos,True,3,2.2502129078,stimulus,
juan-carlos,True,3,2.8934988976,tap,s
juan-carlos,True,4,3.0002300739,stimulus,
juan-carlos,True,4,3.6116700172,tap,l
juan-carlos,True,5,3.7502419949,stimulus,
juan-carlos,True,5,4.2650239468,tap,s
juan-carlos,True,6,4.5002620220,stimulus,
juan-carlos,True,6,4.9913289547,tap,s
juan-carlos,True,7,5.2502789497,stimulus,
juan-carlos,True,7,5.6851789951,tap,l
juan-carlos,True,8,6.0002939701,stimulus,
juan-carlos,True,8,6.5088069439,tap,s
juan-carlos,True,9,6.7503180504,stimulus,
juan-carlos,True,9,7.1620540619,tap,s
juan-carlos,True,10,7.5003221035,stimulus,
juan-carlos,True,10,7.8600680828,tap,l
juan-carlos,True,11,8.2503459454,stimulus,
juan-carlos,True,11,8.5781610012,tap,s
juan-carlos,True,12,9.0003669262,stimulus,
juan-carlos,True,12,9.4181029797,tap,s
juan-carlos,True,13,9.7503869534,stimulus,
juan-carlos,True,13,10.1646530628,tap,l
juan-carlos,True,14,10.5004050732,stimulus,
juan-carlos,True,14,10.9517500401,tap,s
juan-carlos,True,15,11.2504260540,stimulus,
juan-carlos,True,15,11.6941809654,tap,s
juan-carlos,True,16,12.0004389286,stimulus,
juan-carlos,True,16,12.7043950558,tap,s
juan-carlos,True,17,12.7504539490,stimulus,
juan-carlos,True,17,12.7901051044,tap,l
juan-carlos,True,17,13.5000040531,tap,s
juan-carlos,True,18,13.5010459423,stimulus,
juan-carlos,True,19,14.2504920959,stimulus,
juan-carlos,True,19,14.3803670406,tap,s
juan-carlos,True,19,14.8957920074,tap,l
juan-carlos,True,20,15.0005240440,stimulus,
juan-carlos,True,20,15.6707439423,tap,s
juan-carlos,True,21,15.7505249977,stimulus,
juan-carlos,True,21,16.3890070915,tap,s
juan-carlos,True,22,16.5005400181,stimulus,
juan-carlos,True,22,16.9652209282,tap,l
juan-carlos,True,23,17.2505669594,stimulus,
juan-carlos,True,23,17.7320959568,tap,s
juan-carlos,True,24,18.0005810261,stimulus,
juan-carlos,True,24,18.4665279388,tap,s
juan-carlos,True,25,18.7505970001,stimulus,
juan-carlos,True,25,19.1199591160,tap,l
juan-carlos,True,26,19.5006160736,stimulus,
juan-carlos,True,26,19.8461699486,tap,s
juan-carlos,True,27,20.2506339550,stimulus,
juan-carlos,True,27,20.6373279095,tap,s
juan-carlos,True,28,21.0006790161,stimulus,
juan-carlos,True,28,21.5259621143,tap,l
juan-carlos,True,29,21.7506709099,stimulus,
juan-carlos,True,29,22.3210959435,tap,s
juan-carlos,True,30,22.5006909370,stimulus,
juan-carlos,True,30,23.0636830330,tap,s
juan-carlos,True,31,23.2507030964,stimulus,
juan-carlos,True,31,23.7090630531,tap,l
juan-carlos,True,32,24.0007510185,stimulus,
juan-carlos,True,32,24.5570681095,tap,s
juan-carlos,True,33,24.7507588863,stimulus,
juan-carlos,True,33,25.2670819759,tap,s
juan-carlos,True,34,25.5007660389,stimulus,
juan-carlos,True,34,25.9933340549,tap,l
juan-carlos,True,35,26.2507829666,stimulus,
juan-carlos,True,35,26.8169679642,tap,s
juan-carlos,True,36,27.0008020401,stimulus,
juan-carlos,True,36,27.5310449600,tap,s
juan-carlos,True,37,27.7508161068,stimulus,
juan-carlos,True,37,28.2370469570,tap,l
juan-carlos,True,38,28.5008261204,stimulus,
juan-carlos,True,38,29.0120470524,tap,s
juan-carlos,True,39,29.2508521080,stimulus,
juan-carlos,True,39,29.7465090752,tap,s
juan-carlos,True,40,30.0008649826,stimulus,
juan-carlos,True,40,30.4890489578,tap,l
juan-carlos,True,41,30.7508780956,stimulus,
juan-carlos,True,41,31.1990680695,tap,s
juan-carlos,True,42,31.5009739399,stimulus,
juan-carlos,True,42,31.9294130802,tap,s
juan-carlos,True,43,32.2509748936,stimulus,
juan-carlos,True,43,32.7855219841,tap,l
juan-carlos,True,44,33.0009760857,stimulus,
juan-carlos,True,44,33.5523800850,tap,s
juan-carlos,True,45,33.7509770393,stimulus,
juan-carlos,True,45,34.3111290932,tap,s
juan-carlos,True,46,34.5010480881,stimulus,
juan-carlos,True,46,35.0050520897,tap,l
juan-carlos,True,47,35.2510819435,stimulus,
juan-carlos,True,47,35.8367259502,tap,s
juan-carlos,True,48,36.0010299683,stimulus,
juan-carlos,True,48,36.5832519531,tap,s
juan-carlos,True,49,36.7510499954,stimulus,
juan-carlos,True,49,37.3177900314,tap,l
juan-carlos,True,50,37.5010609627,stimulus,
juan-carlos,True,50,38.0521469116,tap,s
juan-carlos,True,51,38.2510850430,stimulus,
juan-carlos,True,51,38.8109819889,tap,s
juan-carlos,True,52,39.0010991096,stimulus,
juan-carlos,True,52,39.5493249893,tap,l
juan-carlos,True,53,39.7511160374,stimulus,
juan-carlos,True,53,40.2918679714,tap,s
juan-carlos,True,54,40.5011289120,stimulus,
juan-carlos,True,54,41.1155419350,tap,s
juan-carlos,True,55,41.2511470318,stimulus,
juan-carlos,True,55,41.9228510857,tap,l
juan-carlos,True,56,42.0011680126,stimulus,
juan-carlos,True,56,42.6492199898,tap,s
juan-carlos,True,57,42.7511799335,stimulus,
juan-carlos,True,57,43.3349869251,tap,s
juan-carlos,True,58,43.5011949539,stimulus,
juan-carlos,True,58,44.0207259655,tap,l
juan-carlos,True,59,44.2512109280,stimulus,
juan-carlos,True,59,44.7389049530,tap,s
juan-carlos,True,60,45.0012319088,stimulus,
juan-carlos,True,60,45.4247241020,tap,s
juan-carlos,True,61,45.7512481213,stimulus,
juan-carlos,True,61,46.1996910572,tap,l
juan-carlos,True,62,46.5012660027,stimulus,
juan-carlos,True,62,46.8773589134,tap,s
juan-carlos,True,63,47.2512800694,stimulus,
juan-carlos,True,63,47.5833549500,tap,s
juan-carlos,True,64,48.0012929440,stimulus,
juan-carlos,True,64,48.4557199478,tap,l
juan-carlos,True,65,48.7513129711,stimulus,
juan-carlos,True,65,49.3279941082,tap,s
juan-carlos,True,66,49.5013029575,stimulus,
juan-carlos,True,66,50.0461549759,tap,s
juan-carlos,True,67,50.2513489723,stimulus,
juan-carlos,True,67,50.8048710823,tap,l
juan-carlos,True,68,51.0013689995,stimulus,
juan-carlos,True,68,51.6284880638,tap,s
juan-carlos,True,69,51.7513880730,stimulus,
juan-carlos,True,69,52.3831110001,tap,s
juan-carlos,True,70,52.5014081001,stimulus,
juan-carlos,True,70,53.1134960651,tap,l
juan-carlos,True,71,53.2514090538,stimulus,
juan-carlos,True,71,53.8600769043,tap,s
juan-carlos,True,72,54.0014519691,stimulus,
juan-carlos,True,72,54.6674449444,tap,s
juan-carlos,True,73,54.7514739037,stimulus,
juan-carlos,True,73,55.2802190781,tap,l
juan-carlos,True,74,55.5014829636,stimulus,
juan-carlos,True,74,56.0511119366,tap,s
juan-carlos,True,75,56.2515010834,stimulus,
juan-carlos,True,75,56.8098471165,tap,s
juan-carlos,True,76,57.0015220642,stimulus,
juan-carlos,True,76,57.5360810757,tap,l
juan-carlos,True,77,57.7515449524,stimulus,
juan-carlos,True,77,58.2948920727,tap,s
juan-carlos,True,78,58.5015630722,stimulus,
juan-carlos,True,78,59.0860810280,tap,s
juan-carlos,True,79,59.2515900135,stimulus,
juan-carlos,True,79,59.7636930943,tap,l
juan-carlos,True,80,60.0016050339,stimulus,
juan-carlos,True,80,60.5751769543,tap,s
juan-carlos,True,81,60.7516560555,stimulus,
juan-carlos,True,81,61.3177099228,tap,s
juan-carlos,True,82,61.5016500950,stimulus,
juan-carlos,True,82,62.0277850628,tap,l
juan-carlos,True,83,62.2516701221,stimulus,
juan-carlos,True,83,62.8757109642,tap,s
juan-carlos,True,84,63.0016839504,stimulus,
juan-carlos,True,84,63.5857970715,tap,s
juan-carlos,True,85,63.7516980171,stimulus,
juan-carlos,True,85,64.3039360046,tap,l
juan-carlos,True,86,64.5017149448,stimulus,
juan-carlos,True,86,65.1437749863,tap,s
juan-carlos,True,87,65.2517299652,stimulus,
juan-carlos,True,87,65.8660130501,tap,s
juan-carlos,True,88,66.0017449856,stimulus,
juan-carlos,True,88,66.5477099419,tap,l
juan-carlos,True,89,66.7517619133,stimulus,
juan-carlos,True,89,67.2415719032,tap,s
juan-carlos,True,90,67.5017740726,stimulus,
juan-carlos,True,90,67.9800150394,tap,s
juan-carlos,True,91,68.2517900467,stimulus,
juan-carlos,True,91,68.7225389481,tap,l
juan-carlos,True,92,69.0018050671,stimulus,
juan-carlos,True,92,69.5177009106,tap,s
juan-carlos,True,93,69.7518260479,stimulus,
juan-carlos,True,93,70.3089199066,tap,s
juan-carlos,True,94,70.5018451214,stimulus,
juan-carlos,True,94,70.9987459183,tap,l
juan-carlos,True,95,71.2518670559,stimulus,
juan-carlos,True,95,71.7454299927,tap,s
juan-carlos,True,96,72.0018780231,stimulus,
juan-carlos,True,96,72.5446820259,tap,s
juan-carlos,True,97,72.7518680096,stimulus,
juan-carlos,True,97,73.2546079159,tap,l
juan-carlos,True,98,73.5019049644,stimulus,
juan-carlos,True,98,74.0053958893,tap,s
juan-carlos,True,99,74.2519140244,stimulus,
juan-carlos,True,99,74.7358570099,tap,s
juan-carlos,True,100,75.0019390583,stimulus,
juan-carlos,True,100,75.4621920586,tap,l
juan-carlos,True,101,75.7520260811,stimulus,
juan-carlos,True,101,76.1762950420,tap,s
juan-carlos,True,102,76.5020260811,stimulus,
juan-carlos,True,102,77.0161030293,tap,s
juan-carlos,True,103,77.2520270348,stimulus,
juan-carlos,True,103,77.7465610504,tap,l
juan-carlos,True,104,81.7661991119,probe_task,2
juan-carlos, True,104,84.1501700878,probe_intention,1
juan-carlos,True,104,85.9499349594,probe_distraction,0
juan-carlos,True,105,89.7329211235,stimulus,
juan-carlos,True,105,89.7338991165,tap,s
juan-carlos,True,105,89.9347620010,tap,s
juan-carlos,True,106,90.4827439785,stimulus,
juan-carlos,True,106,91.2287380695,tap,l
juan-carlos,True,107,91.2327530384,stimulus,
