# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica,False,0,0.0001186150,stimulus,
monica, False,0,0.6370158080,tap,s
monica,False,1,0.7502155190,stimulus,
monica, False,1,1.3976638580,tap,s
monica,False,2,1.5002982830,stimulus,
monica, False,2,2.0656398160,tap,s
monica,False,3,2.2504373760,stimulus,
monica, False,3,2.8094621100,tap,s
monica,False,4,3.0005646250,stimulus,
monica, False,4,3.4840585310,tap,l
monica,False,5,3.7506944390,stimulus,
monica, False,5,4.2244696930,tap,l
monica,False,6,4.5008284180,stimulus,
monica, False,6,5.0275932440,tap,s
monica,False,7,5.2509558830,stimulus,
monica, False,7,5.6896129820,tap,s
monica,False,8,6.0010835720,stimulus,
monica, False,8,6.4106217390,tap,l
monica,False,9,6.7512242200,stimulus,
monica, False,9,7.1964101370,tap,l
monica,False,10,7.5013353980,stimulus,
monica, False,10,7.8783826010,tap,l
monica,False,11,8.2514248260,stimulus,
monica, False,11,8.7102145530,tap,l
monica,False,12,9.0015240070,stimulus,
monica, False,12,9.5948372900,tap,l
monica,False,13,9.7516141900,stimulus,
monica, False,13,10.2420904280,tap,l
monica,False,14,10.5017080830,stimulus,
monica, False,14,10.9276363530,tap,l
monica,False,15,11.2518290800,stimulus,
monica, False,15,11.5192904280,tap,s
monica,False,16,12.0019507380,stimulus,
monica, False,16,12.3812805070,tap,l
monica,False,17,12.7520587640,stimulus,
monica, False,17,13.1670355740,tap,l
monica,False,18,13.5021786030,stimulus,
monica, False,18,13.9533043170,tap,l
monica,False,19,14.2523138210,stimulus,
monica, False,19,14.5580073430,tap,s
monica,False,20,15.0024484490,stimulus,
monica, False,20,15.4261685060,tap,l
monica,False,21,15.7525451490,stimulus,
monica, False,21,16.1360811760,tap,l
monica,False,22,16.5026406180,stimulus,
monica, False,22,16.7922611180,tap,s
monica,False,23,17.2527175130,stimulus,
monica, False,23,17.4689660950,tap,s
monica,False,24,18.0028135350,stimulus,
monica, False,24,18.1032096120,tap,s
monica, False,24,18.7027105700,tap,s
monica,False,25,18.7529146710,stimulus,
monica, False,25,19.2871720780,tap,s
monica,False,26,19.5030401920,stimulus,
monica, False,26,20.0367512010,tap,s
monica,False,27,20.2531687560,stimulus,
monica, False,27,20.7106185010,tap,l
monica,False,28,21.0032633730,stimulus,
monica, False,28,21.4085912290,tap,l
monica,False,29,21.7533369750,stimulus,
monica, False,29,22.1667230070,tap,s
monica,False,30,22.5034639870,stimulus,
