# {'participant': 'toni', 'session': 'randTMS', 'EEG': 'Yes', 'date': '2022_Feb_08_1802', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.031995373551176}
condition,block_num,subj, EEG,trial,time, stimulus, response
active_arrhTMS_5,5,toni,True,0,0.0003080680,stimulus,
active_arrhTMS_5,5,toni,True,0,0.4226537170,tap,l
active_arrhTMS_5,5,toni,True,1,0.7504141060,stimulus,
active_arrhTMS_5,5,toni,True,1,0.8464863320,tap,l
active_arrhTMS_5,5,toni,True,2,1.5005293300,stimulus,
active_arrhTMS_5,5,toni,True,3,2.2506186190,stimulus,
active_arrhTMS_5,5,toni,True,4,3.0007455370,stimulus,
active_arrhTMS_5,5,toni,True,4,3.0227900210,tap,l
active_arrhTMS_5,5,toni,True,5,3.7508733100,stimulus,
active_arrhTMS_5,5,toni,True,6,4.5010054990,stimulus,
active_arrhTMS_5,5,toni,True,1,4.7513252390,pulse,NA
active_arrhTMS_5,5,toni,True,2,4.8747349410,pulse,NA
active_arrhTMS_5,5,toni,True,3,4.9248695480,pulse,NA
active_arrhTMS_5,5,toni,True,7,5.2511149460,stimulus,
active_arrhTMS_5,5,toni,True,5,5.2543193900,pulse,NA
active_arrhTMS_5,5,toni,True,8,6.0012416700,stimulus,
active_arrhTMS_5,5,toni,True,8,6.0146305370,tap,l
active_arrhTMS_5,5,toni,True,9,6.7513203600,stimulus,
active_arrhTMS_5,5,toni,True,10,7.5013984990,stimulus,
active_arrhTMS_5,5,toni,True,11,8.2514807190,stimulus,
active_arrhTMS_5,5,toni,True,11,8.8231158310,tap,l
active_arrhTMS_5,5,toni,True,12,9.0015858560,stimulus,
active_arrhTMS_5,5,toni,True,12,9.6465366750,tap,l
active_arrhTMS_5,5,toni,True,13,9.7516650330,stimulus,
active_arrhTMS_5,5,toni,True,5,10.1699906430,pulse,NA
active_arrhTMS_5,5,toni,True,6,10.2210059350,pulse,NA
active_arrhTMS_5,5,toni,True,7,10.2821513260,pulse,NA
active_arrhTMS_5,5,toni,True,13,10.4546490230,tap,l
active_arrhTMS_5,5,toni,True,14,10.5017525330,stimulus,
active_arrhTMS_5,5,toni,True,9,10.6795245890,pulse,NA
active_arrhTMS_5,5,toni,True,15,11.2518567860,stimulus,
active_arrhTMS_5,5,toni,True,15,11.3586660180,tap,l
active_arrhTMS_5,5,toni,True,16,12.0019904110,stimulus,
