# {'participant': 'toni', 'session': 'rhTMS', 'EEG': 'Yes', 'date': '2022_Feb_08_1709', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.89522588071962}
condition,block_num,subj, EEG,trial,time, stimulus, response
active_rhTMS_2,2,toni,True,0,0.0003021640,stimulus,
active_rhTMS_2,2,toni,True,0,0.5195874280,tap,l
active_rhTMS_2,2,toni,True,1,0.7503715140,stimulus,
active_rhTMS_2,2,toni,True,1,0.9113368330,tap,s
active_rhTMS_2,2,toni,True,2,1.5004803290,stimulus,
active_rhTMS_2,2,toni,True,2,1.5190397830,tap,l
active_rhTMS_2,2,toni,True,2,2.2392358680,tap,l
active_rhTMS_2,2,toni,True,3,2.2506210010,stimulus,
active_rhTMS_2,2,toni,True,3,2.9675849390,tap,l
active_rhTMS_2,2,toni,True,4,3.0007110170,stimulus,
active_rhTMS_2,2,toni,True,4,3.7433793360,tap,l
active_rhTMS_2,2,toni,True,5,3.7507920560,stimulus,
active_rhTMS_2,2,toni,True,1,3.8215305510,pulse,NA
active_rhTMS_2,2,toni,True,2,3.9887224110,pulse,NA
active_rhTMS_2,2,toni,True,3,4.1589917760,pulse,NA
active_rhTMS_2,2,toni,True,5,4.3285466760,pulse,NA
active_rhTMS_2,2,toni,True,5,4.4791616650,tap,l
active_rhTMS_2,2,toni,True,6,4.5009278040,stimulus,
active_rhTMS_2,2,toni,True,7,5.2510352230,stimulus,
active_rhTMS_2,2,toni,True,7,5.2712969200,tap,s
active_rhTMS_2,2,toni,True,7,5.9831674090,tap,l
active_rhTMS_2,2,toni,True,8,6.0011378800,stimulus,
active_rhTMS_2,2,toni,True,9,6.7512240360,stimulus,
active_rhTMS_2,2,toni,True,9,6.7592014700,tap,s
active_rhTMS_2,2,toni,True,10,7.5013238380,stimulus,
active_rhTMS_2,2,toni,True,10,7.5113492660,tap,s
active_rhTMS_2,2,toni,True,11,8.2514537330,stimulus,
active_rhTMS_2,2,toni,True,11,8.3032000860,tap,s
active_rhTMS_2,2,toni,True,12,9.0015703710,stimulus,
active_rhTMS_2,2,toni,True,12,9.0473869960,tap,s
active_rhTMS_2,2,toni,True,5,9.2730922620,pulse,NA
active_rhTMS_2,2,toni,True,6,9.4424576230,pulse,NA
active_rhTMS_2,2,toni,True,7,9.6103551700,pulse,NA
active_rhTMS_2,2,toni,True,12,9.6795112640,tap,l
active_rhTMS_2,2,toni,True,13,9.7517033200,stimulus,
active_rhTMS_2,2,toni,True,9,9.7831514720,pulse,NA
active_rhTMS_2,2,toni,True,14,10.5018267140,stimulus,
active_rhTMS_2,2,toni,True,14,10.5035029550,tap,s
active_rhTMS_2,2,toni,True,15,11.2519191130,stimulus,
active_rhTMS_2,2,toni,True,15,11.2633056990,tap,l
active_rhTMS_2,2,toni,True,15,11.9910632180,tap,s
active_rhTMS_2,2,toni,True,16,12.0020426170,stimulus,
active_rhTMS_2,2,toni,True,17,12.7521788130,stimulus,
active_rhTMS_2,2,toni,True,17,12.7912769580,tap,l
active_rhTMS_2,2,toni,True,18,13.5023163160,stimulus,
active_rhTMS_2,2,toni,True,18,13.5270942880,tap,s
active_rhTMS_2,2,toni,True,9,13.7872123210,pulse,NA
active_rhTMS_2,2,toni,True,10,13.9543087980,pulse,NA
active_rhTMS_2,2,toni,True,11,14.1214424150,pulse,NA
active_rhTMS_2,2,toni,True,18,14.2472770770,tap,l
active_rhTMS_2,2,toni,True,19,14.2524107460,stimulus,
active_rhTMS_2,2,toni,True,13,14.2923388790,pulse,NA
