# {'participant': 'baseline_4,4,toni', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_Feb_08_1744', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.47927300199944}
condition,block_num,subj, EEG,trial,time, stimulus, response
baseline_4,4,toni,True,0,0.0001877820,stimulus,
baseline_4,4,toni,True,1,0.7502375170,stimulus,
baseline_4,4,toni, True,1,0.8211826870,tap,l
baseline_4,4,toni,True,2,1.5003395930,stimulus,
baseline_4,4,toni, True,2,1.5411032860,tap,l
baseline_4,4,toni,True,3,2.2504453300,stimulus,
baseline_4,4,toni, True,3,2.3173564130,tap,l
baseline_4,4,toni,True,4,3.0005357240,stimulus,
baseline_4,4,toni, True,4,3.0370843460,tap,s
baseline_4,4,toni, True,4,3.7251430210,tap,s
baseline_4,4,toni,True,5,3.7506324190,stimulus,
baseline_4,4,toni, True,5,4.5012413310,tap,l
baseline_4,4,toni,True,6,4.5015487490,stimulus,
baseline_4,4,toni, True,6,5.2293724750,tap,l
baseline_4,4,toni,True,7,5.2516879920,stimulus,
baseline_4,4,toni,True,8,6.0018136240,stimulus,
baseline_4,4,toni, True,8,6.0135252560,tap,s
baseline_4,4,toni, True,8,6.7253049430,tap,l
baseline_4,4,toni,True,9,6.7519072040,stimulus,
baseline_4,4,toni, True,9,7.4852173950,tap,s
baseline_4,4,toni,True,10,7.5019693690,stimulus,
baseline_4,4,toni, True,10,8.2051590500,tap,s
baseline_4,4,toni,True,11,8.2520772600,stimulus,
baseline_4,4,toni, True,11,8.9892761210,tap,l
baseline_4,4,toni,True,12,9.0022248150,stimulus,
baseline_4,4,toni, True,12,9.7412363620,tap,s
baseline_4,4,toni,True,13,9.7523057250,stimulus,
baseline_4,4,toni, True,13,10.4772326030,tap,l
baseline_4,4,toni,True,14,10.5024147860,stimulus,
baseline_4,4,toni, True,14,11.2215198060,tap,s
baseline_4,4,toni,True,15,11.2524649210,stimulus,
baseline_4,4,toni, True,15,11.9411460810,tap,s
baseline_4,4,toni,True,16,12.0026759350,stimulus,
baseline_4,4,toni, True,16,12.7091328640,tap,l
baseline_4,4,toni,True,17,12.7527615140,stimulus,
baseline_4,4,toni, True,17,13.4611483210,tap,s
baseline_4,4,toni,True,18,13.5029137910,stimulus,
baseline_4,4,toni, True,18,14.2131549260,tap,l
baseline_4,4,toni,True,19,14.2529817750,stimulus,
baseline_4,4,toni, True,19,14.9655593550,tap,l
baseline_4,4,toni,True,20,15.0030843340,stimulus,
baseline_4,4,toni, True,20,15.7092875650,tap,s
baseline_4,4,toni,True,21,15.7531420750,stimulus,
baseline_4,4,toni, True,21,16.4690649690,tap,l
baseline_4,4,toni,True,22,16.5032341210,stimulus,
baseline_4,4,toni, True,22,17.2372445680,tap,s
baseline_4,4,toni,True,23,17.2533261090,stimulus,
baseline_4,4,toni, True,23,17.9332559140,tap,s
baseline_4,4,toni,True,24,18.0034222230,stimulus,
baseline_4,4,toni, True,24,18.7491484900,tap,l
baseline_4,4,toni,True,25,18.7534746810,stimulus,
baseline_4,4,toni,True,26,19.5035750130,stimulus,
baseline_4,4,toni, True,26,19.5252952480,tap,s
baseline_4,4,toni,True,27,20.2536885840,stimulus,
baseline_4,4,toni, True,27,20.2853445270,tap,l
baseline_4,4,toni, True,27,20.9570958410,tap,s
baseline_4,4,toni,True,28,21.0037875220,stimulus,
baseline_4,4,toni, True,28,21.7252328240,tap,s
baseline_4,4,toni,True,29,21.7538630110,stimulus,
baseline_4,4,toni, True,29,22.4930938890,tap,l
baseline_4,4,toni,True,30,22.5040630290,stimulus,
baseline_4,4,toni, True,30,23.2131275780,tap,s
baseline_4,4,toni,True,31,23.2540738770,stimulus,
baseline_4,4,toni, True,31,23.9410920080,tap,s
baseline_4,4,toni,True,32,24.0042249630,stimulus,
baseline_4,4,toni, True,32,24.7091735940,tap,l
baseline_4,4,toni,True,33,24.7543464460,stimulus,
baseline_4,4,toni, True,33,25.4531363440,tap,s
baseline_4,4,toni,True,34,25.5044899530,stimulus,
baseline_4,4,toni, True,34,26.1974147180,tap,l
baseline_4,4,toni,True,35,26.2546029740,stimulus,
baseline_4,4,toni, True,35,26.9890966310,tap,l
baseline_4,4,toni,True,36,27.0047540630,stimulus,
baseline_4,4,toni, True,36,27.6373873490,tap,s
baseline_4,4,toni,True,37,27.7548267230,stimulus,
baseline_4,4,toni,True,38,28.5049521890,stimulus,
