# {'participant': 'toni', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_Feb_08_1834', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.04881091611103}
condition,block_num,subj, EEG,trial,time, stimulus, response
baseline_7,7,toni,True,0,0.0001682780,stimulus,
baseline_7,7,toni, True,0,0.2623779690,tap,l
baseline_7,7,toni, True,0,0.7423726780,tap,l
baseline_7,7,toni,True,1,0.7502089560,stimulus,
baseline_7,7,toni, True,1,1.4782630760,tap,l
baseline_7,7,toni,True,2,1.5003580480,stimulus,
baseline_7,7,toni, True,2,2.2143726490,tap,s
baseline_7,7,toni,True,3,2.2504723660,stimulus,
baseline_7,7,toni, True,3,2.8943519780,tap,l
baseline_7,7,toni,True,4,3.0006103840,stimulus,
baseline_7,7,toni, True,4,3.7105415650,tap,l
baseline_7,7,toni,True,5,3.7506796180,stimulus,
baseline_7,7,toni,True,6,4.5008034140,stimulus,
baseline_7,7,toni, True,6,4.5422885320,tap,l
baseline_7,7,toni, True,6,5.2145026380,tap,s
baseline_7,7,toni,True,7,5.2509242680,stimulus,
baseline_7,7,toni, True,7,5.9344684560,tap,l
baseline_7,7,toni,True,8,6.0010685430,stimulus,
baseline_7,7,toni, True,8,6.7346792870,tap,l
baseline_7,7,toni,True,9,6.7511908980,stimulus,
baseline_7,7,toni, True,9,7.4544118460,tap,l
baseline_7,7,toni,True,10,7.5016828090,stimulus,
baseline_7,7,toni, True,10,8.2304723580,tap,l
baseline_7,7,toni,True,11,8.2518091610,stimulus,
baseline_7,7,toni,True,12,9.0018979390,stimulus,
baseline_7,7,toni, True,12,9.0062955460,tap,s
baseline_7,7,toni, True,12,9.6703031000,tap,l
baseline_7,7,toni,True,13,9.7520231890,stimulus,
baseline_7,7,toni,True,14,10.5021598890,stimulus,
baseline_7,7,toni, True,14,10.5503506290,tap,s
baseline_7,7,toni,True,15,11.2522917950,stimulus,
baseline_7,7,toni, True,15,11.2786050730,tap,l
baseline_7,7,toni, True,15,11.9422191590,tap,s
baseline_7,7,toni,True,16,12.0023450610,stimulus,
baseline_7,7,toni,True,17,12.7524047170,stimulus,
baseline_7,7,toni, True,17,12.7583746110,tap,s
baseline_7,7,toni, True,17,13.5024438620,tap,l
baseline_7,7,toni,True,18,13.5027141540,stimulus,
baseline_7,7,toni, True,18,14.2383950680,tap,s
baseline_7,7,toni,True,19,14.2528618720,stimulus,
baseline_7,7,toni, True,19,14.9662461960,tap,s
baseline_7,7,toni,True,20,15.0029072470,stimulus,
baseline_7,7,toni,True,21,15.7530349040,stimulus,
baseline_7,7,toni, True,21,15.7745080370,tap,l
baseline_7,7,toni, True,21,16.4863198390,tap,s
baseline_7,7,toni,True,22,16.5032107860,stimulus,
baseline_7,7,toni, True,22,17.2386074150,tap,s
baseline_7,7,toni,True,23,17.2533065430,stimulus,
baseline_7,7,toni, True,23,17.9584249190,tap,s
baseline_7,7,toni,True,24,18.0034612350,stimulus,
baseline_7,7,toni, True,24,18.7263992540,tap,l
baseline_7,7,toni,True,25,18.7535551530,stimulus,
baseline_7,7,toni,True,26,19.5036430370,stimulus,
baseline_7,7,toni, True,26,19.5263654660,tap,l
baseline_7,7,toni, True,26,20.2464903440,tap,s
baseline_7,7,toni,True,27,20.2537101140,stimulus,
baseline_7,7,toni,True,28,21.0038458900,stimulus,
baseline_7,7,toni, True,28,21.0066325390,tap,l
baseline_7,7,toni, True,28,21.7264187550,tap,l
baseline_7,7,toni,True,29,21.7539405480,stimulus,
baseline_7,7,toni, True,29,22.5022681200,tap,s
baseline_7,7,toni,True,30,22.5040147090,stimulus,
baseline_7,7,toni, True,30,23.2386105590,tap,l
baseline_7,7,toni,True,31,23.2541023020,stimulus,
baseline_7,7,toni, True,31,23.9266204740,tap,s
baseline_7,7,toni,True,32,24.0042598970,stimulus,
baseline_7,7,toni, True,32,24.6783551780,tap,s
baseline_7,7,toni,True,33,24.7543651550,stimulus,
baseline_7,7,toni, True,33,25.4623822790,tap,s
baseline_7,7,toni,True,34,25.5045066020,stimulus,
baseline_7,7,toni, True,34,26.2543223270,tap,l
baseline_7,7,toni,True,35,26.2546753100,stimulus,
baseline_7,7,toni, True,35,26.9424032970,tap,s
baseline_7,7,toni,True,36,27.0048286790,stimulus,
baseline_7,7,toni, True,36,27.7343595960,tap,l
baseline_7,7,toni,True,37,27.7548809880,stimulus,
baseline_7,7,toni, True,37,28.4783357350,tap,l
baseline_7,7,toni,True,38,28.5050130040,stimulus,
baseline_7,7,toni, True,38,29.2145512710,tap,s
baseline_7,7,toni,True,39,29.2551020170,stimulus,
baseline_7,7,toni, True,39,29.9904554260,tap,l
baseline_7,7,toni,True,40,30.0052249320,stimulus,
baseline_7,7,toni, True,40,30.7424427460,tap,l
baseline_7,7,toni,True,41,30.7552738530,stimulus,
baseline_7,7,toni, True,41,31.4468289860,tap,s
baseline_7,7,toni,True,42,31.5054343540,stimulus,
baseline_7,7,toni, True,42,32.2142889200,tap,l
baseline_7,7,toni,True,43,32.2555144770,stimulus,
baseline_7,7,toni, True,43,32.9823067230,tap,s
baseline_7,7,toni,True,44,33.0056575750,stimulus,
baseline_7,7,toni, True,44,33.6945910580,tap,s
baseline_7,7,toni,True,45,33.7558032140,stimulus,
baseline_7,7,toni, True,45,34.4462427480,tap,s
baseline_7,7,toni,True,46,34.5058661580,stimulus,
baseline_7,7,toni, True,46,35.1903292010,tap,l
baseline_7,7,toni,True,47,35.2559256050,stimulus,
baseline_7,7,toni, True,47,35.9583849420,tap,s
baseline_7,7,toni,True,48,36.0060501590,stimulus,
baseline_7,7,toni, True,48,36.6783190170,tap,l
baseline_7,7,toni,True,49,36.7561548070,stimulus,
baseline_7,7,toni,True,50,37.5062619050,stimulus,
baseline_7,7,toni, True,50,37.5105440970,tap,s
baseline_7,7,toni, True,50,38.2384061770,tap,s
baseline_7,7,toni,True,51,38.2563377850,stimulus,
baseline_7,7,toni, True,51,39.0063614960,tap,l
baseline_7,7,toni,True,52,39.0066278140,stimulus,
baseline_7,7,toni, True,52,39.6784252750,tap,s
baseline_7,7,toni,True,53,39.7567315340,stimulus,
baseline_7,7,toni, True,53,40.5025585840,tap,l
baseline_7,7,toni,True,54,40.5068428380,stimulus,
baseline_7,7,toni, True,54,41.2384763980,tap,l
baseline_7,7,toni,True,55,41.2569835990,stimulus,
baseline_7,7,toni, True,55,41.9822070790,tap,s
baseline_7,7,toni,True,56,42.0071100070,stimulus,
baseline_7,7,toni, True,56,42.7262795980,tap,l
baseline_7,7,toni,True,57,42.7572225680,stimulus,
baseline_7,7,toni, True,57,43.4544029540,tap,s
baseline_7,7,toni,True,58,43.5073209440,stimulus,
baseline_7,7,toni, True,58,44.2143276000,tap,l
baseline_7,7,toni,True,59,44.2574398040,stimulus,
baseline_7,7,toni, True,59,44.9744932900,tap,s
baseline_7,7,toni,True,60,45.0075991850,stimulus,
baseline_7,7,toni, True,60,45.7504078560,tap,l
baseline_7,7,toni,True,61,45.7577044840,stimulus,
baseline_7,7,toni,True,62,46.5078175550,stimulus,
baseline_7,7,toni, True,62,46.5422896300,tap,l
baseline_7,7,toni, True,62,47.2544209850,tap,l
baseline_7,7,toni,True,63,47.2578824820,stimulus,
baseline_7,7,toni, True,63,47.9743453380,tap,s
baseline_7,7,toni,True,64,48.0080410830,stimulus,
baseline_7,7,toni, True,64,48.6942235150,tap,l
baseline_7,7,toni,True,65,48.7581574030,stimulus,
baseline_7,7,toni, True,65,49.4702199600,tap,l
baseline_7,7,toni,True,66,49.5082738220,stimulus,
baseline_7,7,toni, True,66,50.2145872530,tap,s
baseline_7,7,toni,True,67,50.2583295150,stimulus,
baseline_7,7,toni, True,67,50.9905208740,tap,l
baseline_7,7,toni,True,68,51.0084661060,stimulus,
baseline_7,7,toni, True,68,51.7585281650,tap,s
baseline_7,7,toni,True,69,51.7587987990,stimulus,
baseline_7,7,toni, True,69,52.4864341160,tap,s
baseline_7,7,toni,True,70,52.5089139930,stimulus,
baseline_7,7,toni, True,70,53.2383598760,tap,l
baseline_7,7,toni,True,71,53.2589829700,stimulus,
baseline_7,7,toni, True,71,53.9745461300,tap,l
baseline_7,7,toni,True,72,54.0090750730,stimulus,
baseline_7,7,toni, True,72,54.7344405400,tap,l
baseline_7,7,toni,True,73,54.7591669920,stimulus,
baseline_7,7,toni,True,74,55.5093114660,stimulus,
baseline_7,7,toni, True,74,55.5183493240,tap,l
