# {'participant': 'toni', 'session': 'randTMS', 'EEG': 'Yes', 'date': '2022_Feb_08_1819', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.99829568881094}
condition,block_num,subj, EEG,trial,time, stimulus, response
sham_arrhTMS_6,6,toni,True,0,0.0003870460,stimulus,
sham_arrhTMS_6,6,toni,True,0,0.7418859110,tap,l
sham_arrhTMS_6,6,toni,True,1,0.7504771870,stimulus,
sham_arrhTMS_6,6,toni,True,1,1.4298590770,tap,l
sham_arrhTMS_6,6,toni,True,2,1.5006509320,stimulus,
sham_arrhTMS_6,6,toni,True,2,2.1259016350,tap,s
sham_arrhTMS_6,6,toni,True,3,2.2506403440,stimulus,
sham_arrhTMS_6,6,toni,True,3,2.9500024080,tap,l
sham_arrhTMS_6,6,toni,True,4,3.0007540930,stimulus,
sham_arrhTMS_6,6,toni,True,4,3.7338899150,tap,l
sham_arrhTMS_6,6,toni,True,5,3.7508632190,stimulus,
sham_arrhTMS_6,6,toni,True,5,4.3179140740,tap,s
sham_arrhTMS_6,6,toni,True,1,4.4188899090,pulse,NA
sham_arrhTMS_6,6,toni,True,6,4.5009122050,stimulus,
sham_arrhTMS_6,6,toni,True,6,4.5419964430,tap,l
sham_arrhTMS_6,6,toni,True,2,4.5658843160,pulse,NA
sham_arrhTMS_6,6,toni,True,3,4.6087004940,pulse,NA
sham_arrhTMS_6,6,toni,True,5,4.9219757100,pulse,NA
sham_arrhTMS_6,6,toni,True,6,5.2140451820,tap,l
sham_arrhTMS_6,6,toni,True,7,5.2509960980,stimulus,
sham_arrhTMS_6,6,toni,True,7,5.9658031510,tap,l
sham_arrhTMS_6,6,toni,True,8,6.0011539360,stimulus,
sham_arrhTMS_6,6,toni,True,8,6.6941325560,tap,s
sham_arrhTMS_6,6,toni,True,9,6.7512254340,stimulus,
sham_arrhTMS_6,6,toni,True,9,7.4779824540,tap,l
sham_arrhTMS_6,6,toni,True,10,7.5013795020,stimulus,
sham_arrhTMS_6,6,toni,True,10,8.1980642490,tap,s
sham_arrhTMS_6,6,toni,True,11,8.2514649760,stimulus,
sham_arrhTMS_6,6,toni,True,5,8.4401574960,pulse,NA
sham_arrhTMS_6,6,toni,True,6,8.5031733700,pulse,NA
sham_arrhTMS_6,6,toni,True,7,8.6125892390,pulse,NA
sham_arrhTMS_6,6,toni,True,9,8.9429042710,pulse,NA
sham_arrhTMS_6,6,toni,True,11,8.9581219020,tap,s
sham_arrhTMS_6,6,toni,True,12,9.0015640190,stimulus,
sham_arrhTMS_6,6,toni,True,12,9.7019824450,tap,l
sham_arrhTMS_6,6,toni,True,13,9.7516462100,stimulus,
sham_arrhTMS_6,6,toni,True,14,10.5017557540,stimulus,
sham_arrhTMS_6,6,toni,True,14,10.5098430570,tap,s
sham_arrhTMS_6,6,toni,True,14,11.2222513780,tap,l
sham_arrhTMS_6,6,toni,True,15,11.2518387980,stimulus,
sham_arrhTMS_6,6,toni,True,15,11.9341170900,tap,s
sham_arrhTMS_6,6,toni,True,9,11.9842938710,pulse,NA
sham_arrhTMS_6,6,toni,True,16,12.0019695870,stimulus,
sham_arrhTMS_6,6,toni,True,10,12.1175752410,pulse,NA
sham_arrhTMS_6,6,toni,True,11,12.2185933610,pulse,NA
sham_arrhTMS_6,6,toni,True,13,12.4912571520,pulse,NA
sham_arrhTMS_6,6,toni,True,16,12.6939260970,tap,l
sham_arrhTMS_6,6,toni,True,17,12.7520714510,stimulus,
sham_arrhTMS_6,6,toni,True,17,13.4698338240,tap,s
sham_arrhTMS_6,6,toni,True,18,13.5022877320,stimulus,
sham_arrhTMS_6,6,toni,True,18,14.1661249430,tap,l
sham_arrhTMS_6,6,toni,True,19,14.2523050770,stimulus,
sham_arrhTMS_6,6,toni,True,19,14.9578482780,tap,l
sham_arrhTMS_6,6,toni,True,20,15.0023952490,stimulus,
sham_arrhTMS_6,6,toni,True,20,15.6540534260,tap,s
sham_arrhTMS_6,6,toni,True,21,15.7525002090,stimulus,
sham_arrhTMS_6,6,toni,True,13,15.8207211990,pulse,NA
sham_arrhTMS_6,6,toni,True,14,15.9649429320,pulse,NA
sham_arrhTMS_6,6,toni,True,15,15.9933919970,pulse,NA
sham_arrhTMS_6,6,toni,True,17,16.3322121190,pulse,NA
sham_arrhTMS_6,6,toni,True,21,16.4778760910,tap,l
sham_arrhTMS_6,6,toni,True,22,16.5026310400,stimulus,
sham_arrhTMS_6,6,toni,True,22,17.2058940400,tap,l
sham_arrhTMS_6,6,toni,True,23,17.2527159770,stimulus,
sham_arrhTMS_6,6,toni,True,23,17.9578173790,tap,s
sham_arrhTMS_6,6,toni,True,24,18.0028092840,stimulus,
sham_arrhTMS_6,6,toni,True,24,18.7019222710,tap,s
sham_arrhTMS_6,6,toni,True,25,18.7528736770,stimulus,
sham_arrhTMS_6,6,toni,True,25,19.4700251450,tap,s
sham_arrhTMS_6,6,toni,True,26,19.5030133300,stimulus,
sham_arrhTMS_6,6,toni,True,26,20.2383875200,tap,l
sham_arrhTMS_6,6,toni,True,27,20.2531052910,stimulus,
sham_arrhTMS_6,6,toni,True,27,20.9419072700,tap,s
sham_arrhTMS_6,6,toni,True,28,21.0032541130,stimulus,
sham_arrhTMS_6,6,toni,True,17,21.0142510190,pulse,NA
sham_arrhTMS_6,6,toni,True,18,21.0465933990,pulse,NA
sham_arrhTMS_6,6,toni,True,19,21.1944784510,pulse,NA
sham_arrhTMS_6,6,toni,True,21,21.5164341340,pulse,NA
sham_arrhTMS_6,6,toni,True,28,21.6460533970,tap,s
sham_arrhTMS_6,6,toni,True,29,21.7533710210,stimulus,
sham_arrhTMS_6,6,toni,True,29,22.4697927230,tap,l
sham_arrhTMS_6,6,toni,True,30,22.5034846860,stimulus,
sham_arrhTMS_6,6,toni,True,30,23.1339742230,tap,s
sham_arrhTMS_6,6,toni,True,31,23.2535730910,stimulus,
sham_arrhTMS_6,6,toni,True,31,23.9897896930,tap,l
sham_arrhTMS_6,6,toni,True,32,24.0036530460,stimulus,
sham_arrhTMS_6,6,toni,True,33,24.7537226630,stimulus,
sham_arrhTMS_6,6,toni,True,33,25.4624598680,tap,l
sham_arrhTMS_6,6,toni,True,34,25.5038326730,stimulus,
sham_arrhTMS_6,6,toni,True,21,25.8536390320,pulse,NA
sham_arrhTMS_6,6,toni,True,22,25.9679478340,pulse,NA
sham_arrhTMS_6,6,toni,True,23,26.1239023960,pulse,NA
sham_arrhTMS_6,6,toni,True,34,26.2538947950,tap,l
sham_arrhTMS_6,6,toni,True,35,26.2541609840,stimulus,
sham_arrhTMS_6,6,toni,True,25,26.3564317880,pulse,NA
sham_arrhTMS_6,6,toni,True,35,26.9902117950,tap,l
sham_arrhTMS_6,6,toni,True,36,27.0043328030,stimulus,
sham_arrhTMS_6,6,toni,True,36,27.7018435420,tap,s
sham_arrhTMS_6,6,toni,True,37,27.7544162800,stimulus,
sham_arrhTMS_6,6,toni,True,37,28.4858964080,tap,l
sham_arrhTMS_6,6,toni,True,38,28.5045346360,stimulus,
sham_arrhTMS_6,6,toni,True,39,29.2546410570,stimulus,
sham_arrhTMS_6,6,toni,True,39,29.2779018990,tap,l
sham_arrhTMS_6,6,toni,True,39,29.9658529590,tap,s
sham_arrhTMS_6,6,toni,True,40,30.0047386660,stimulus,
sham_arrhTMS_6,6,toni,True,25,30.3944894740,pulse,NA
sham_arrhTMS_6,6,toni,True,26,30.4833143520,pulse,NA
sham_arrhTMS_6,6,toni,True,27,30.6439176050,pulse,NA
sham_arrhTMS_6,6,toni,True,40,30.7100929020,tap,l
sham_arrhTMS_6,6,toni,True,41,30.7548129810,stimulus,
sham_arrhTMS_6,6,toni,True,29,30.9085464170,pulse,NA
sham_arrhTMS_6,6,toni,True,42,31.5049193610,stimulus,
sham_arrhTMS_6,6,toni,True,42,32.2378629650,tap,l
sham_arrhTMS_6,6,toni,True,43,32.2551354860,stimulus,
sham_arrhTMS_6,6,toni,True,43,33.0059499100,tap,s
sham_arrhTMS_6,6,toni,True,44,33.0062149210,stimulus,
sham_arrhTMS_6,6,toni,True,44,33.6538219970,tap,l
sham_arrhTMS_6,6,toni,True,45,33.7563521540,stimulus,
sham_arrhTMS_6,6,toni,True,29,34.3403098560,pulse,NA
sham_arrhTMS_6,6,toni,True,30,34.4001259550,pulse,NA
sham_arrhTMS_6,6,toni,True,31,34.4656695750,pulse,NA
sham_arrhTMS_6,6,toni,True,45,34.5019405780,tap,s
sham_arrhTMS_6,6,toni,True,46,34.5064725860,stimulus,
sham_arrhTMS_6,6,toni,True,33,34.8553586860,pulse,NA
sham_arrhTMS_6,6,toni,True,46,35.1982892930,tap,l
sham_arrhTMS_6,6,toni,True,47,35.2565781970,stimulus,
sham_arrhTMS_6,6,toni,True,47,35.9978238100,tap,s
sham_arrhTMS_6,6,toni,True,48,36.0066843550,stimulus,
sham_arrhTMS_6,6,toni,True,48,36.6619784520,tap,s
sham_arrhTMS_6,6,toni,True,49,36.7567579510,stimulus,
