# {'participant': 'toni', 'session': 'rhTMS', 'EEG': 'Yes', 'date': '2022_Feb_08_1730', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.997165013709704}
condition,block_num,subj, EEG,trial,time, stimulus, response
sham_rhTMS_3,3,toni,True,0,0.0003198390,stimulus,
sham_rhTMS_3,3,toni,True,0,0.4639812280,tap,l
sham_rhTMS_3,3,toni,True,1,0.7503997280,stimulus,
sham_rhTMS_3,3,toni,True,1,0.8638987970,tap,s
sham_rhTMS_3,3,toni,True,2,1.5004959570,stimulus,
sham_rhTMS_3,3,toni,True,2,1.5277964450,tap,l
sham_rhTMS_3,3,toni,True,3,2.2505929180,stimulus,
sham_rhTMS_3,3,toni,True,3,2.2637799610,tap,l
sham_rhTMS_3,3,toni,True,4,3.0006657700,stimulus,
sham_rhTMS_3,3,toni,True,4,3.0317879590,tap,l
sham_rhTMS_3,3,toni,True,5,3.7507611220,stimulus,
sham_rhTMS_3,3,toni,True,5,3.7598190280,tap,l
sham_rhTMS_3,3,toni,True,1,4.3745562240,pulse,NA
sham_rhTMS_3,3,toni,True,6,4.5008950870,stimulus,
sham_rhTMS_3,3,toni,True,6,4.5038872810,tap,s
sham_rhTMS_3,3,toni,True,2,4.5423301390,pulse,NA
sham_rhTMS_3,3,toni,True,3,4.7096740550,pulse,NA
sham_rhTMS_3,3,toni,True,5,4.8767176660,pulse,NA
sham_rhTMS_3,3,toni,True,6,5.2158879320,tap,l
sham_rhTMS_3,3,toni,True,7,5.2509860490,stimulus,
sham_rhTMS_3,3,toni,True,8,6.0010698250,stimulus,
sham_rhTMS_3,3,toni,True,8,6.0319671840,tap,l
sham_rhTMS_3,3,toni,True,8,6.7517260870,tap,s
sham_rhTMS_3,3,toni,True,9,6.7519990520,stimulus,
sham_rhTMS_3,3,toni,True,10,7.5021300380,stimulus,
sham_rhTMS_3,3,toni,True,10,7.5282265910,tap,l
sham_rhTMS_3,3,toni,True,10,8.2397839470,tap,s
sham_rhTMS_3,3,toni,True,11,8.2523812520,stimulus,
sham_rhTMS_3,3,toni,True,5,8.3894895630,pulse,NA
sham_rhTMS_3,3,toni,True,6,8.5618054480,pulse,NA
sham_rhTMS_3,3,toni,True,7,8.7291204280,pulse,NA
sham_rhTMS_3,3,toni,True,9,8.8964029740,pulse,NA
sham_rhTMS_3,3,toni,True,11,8.9917820460,tap,s
sham_rhTMS_3,3,toni,True,12,9.0023439540,stimulus,
sham_rhTMS_3,3,toni,True,13,9.7524818590,stimulus,
sham_rhTMS_3,3,toni,True,13,9.7678118250,tap,l
sham_rhTMS_3,3,toni,True,13,10.4961598960,tap,s
sham_rhTMS_3,3,toni,True,14,10.5025758500,stimulus,
sham_rhTMS_3,3,toni,True,14,11.2078982830,tap,s
sham_rhTMS_3,3,toni,True,15,11.2526789190,stimulus,
sham_rhTMS_3,3,toni,True,15,11.9918993920,tap,l
sham_rhTMS_3,3,toni,True,16,12.0027425740,stimulus,
sham_rhTMS_3,3,toni,True,17,12.7528887440,stimulus,
sham_rhTMS_3,3,toni,True,17,12.7678167980,tap,s
sham_rhTMS_3,3,toni,True,9,13.2098170570,pulse,NA
sham_rhTMS_3,3,toni,True,10,13.3775560870,pulse,NA
sham_rhTMS_3,3,toni,True,17,13.5039634100,tap,s
sham_rhTMS_3,3,toni,True,18,13.5042444980,stimulus,
sham_rhTMS_3,3,toni,True,11,13.5445128480,pulse,NA
sham_rhTMS_3,3,toni,True,13,13.7169800910,pulse,NA
sham_rhTMS_3,3,toni,True,18,14.1999243810,tap,l
sham_rhTMS_3,3,toni,True,19,14.2543832520,stimulus,
sham_rhTMS_3,3,toni,True,19,14.9360752490,tap,s
sham_rhTMS_3,3,toni,True,20,15.0044769850,stimulus,
sham_rhTMS_3,3,toni,True,20,15.7037026500,tap,s
sham_rhTMS_3,3,toni,True,21,15.7546231150,stimulus,
sham_rhTMS_3,3,toni,True,21,16.3757842200,tap,s
sham_rhTMS_3,3,toni,True,22,16.5047173650,stimulus,
sham_rhTMS_3,3,toni,True,23,17.2548443680,stimulus,
sham_rhTMS_3,3,toni,True,13,17.2877792980,pulse,NA
sham_rhTMS_3,3,toni,True,23,17.2879643980,tap,l
sham_rhTMS_3,3,toni,True,14,17.4597801280,pulse,NA
sham_rhTMS_3,3,toni,True,15,17.6280555910,pulse,NA
sham_rhTMS_3,3,toni,True,17,17.7957376810,pulse,NA
sham_rhTMS_3,3,toni,True,23,17.9840596080,tap,s
sham_rhTMS_3,3,toni,True,24,18.0049215590,stimulus,
sham_rhTMS_3,3,toni,True,25,18.7550055960,stimulus,
sham_rhTMS_3,3,toni,True,25,18.7598573810,tap,l
sham_rhTMS_3,3,toni,True,26,19.5050956540,stimulus,
sham_rhTMS_3,3,toni,True,26,19.5198369850,tap,s
sham_rhTMS_3,3,toni,True,26,20.2482229800,tap,s
sham_rhTMS_3,3,toni,True,27,20.2551767440,stimulus,
sham_rhTMS_3,3,toni,True,27,20.8877527580,tap,l
sham_rhTMS_3,3,toni,True,28,21.0052927370,stimulus,
sham_rhTMS_3,3,toni,True,17,21.2896291600,pulse,NA
sham_rhTMS_3,3,toni,True,18,21.4569224310,pulse,NA
sham_rhTMS_3,3,toni,True,19,21.6265782810,pulse,NA
sham_rhTMS_3,3,toni,True,28,21.7439742510,tap,l
sham_rhTMS_3,3,toni,True,29,21.7553933460,stimulus,
sham_rhTMS_3,3,toni,True,21,21.7974808690,pulse,NA
sham_rhTMS_3,3,toni,True,29,22.5039715470,tap,s
sham_rhTMS_3,3,toni,True,30,22.5055089390,stimulus,
sham_rhTMS_3,3,toni,True,30,23.2479317380,tap,l
sham_rhTMS_3,3,toni,True,31,23.2555958670,stimulus,
sham_rhTMS_3,3,toni,True,31,23.9919585840,tap,s
sham_rhTMS_3,3,toni,True,32,24.0057210510,stimulus,
sham_rhTMS_3,3,toni,True,32,24.7278115480,tap,s
sham_rhTMS_3,3,toni,True,33,24.7558075280,stimulus,
sham_rhTMS_3,3,toni,True,33,25.0158004000,tap,l
