# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'SAr', 'EEG': 'Yes', 'Block number': '3', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_24_1433', 'expName': 'FT-RSGT', 'frameRate': 59.95383003449169}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,0,0.0009481907,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,1,0.7507760525,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,1,0.8063421249,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,1,1.4763469696,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,2,1.5007779598,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,3,2.2507970333,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,3,2.2602219582,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,4,3.0008189678,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,4,3.0439560413,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,4,3.7303149700,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,5,3.7508401871,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,5,4.4938030243,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,6,4.5008630753,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,1,4.7185578346,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,2,4.8052527905,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,3,4.9176008701,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,5,5.2202968597,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,7,5.2508711815,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,7,5.2572700977,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,8,6.0008859634,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,8,6.0166840553,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,9,6.7508981228,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,9,6.7761201859,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,9,7.4909141064,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,10,7.5009121895,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,10,8.2421619892,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,11,8.2509319782,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,5,8.3914008141,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,6,8.4487028122,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,7,8.5208179951,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,9,8.8931307793,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,12,9.0009591579,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,12,9.0097069740,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,13,9.7509679794,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,13,9.7609431744,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,13,10.4230480194,tap,l
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,14,10.5009841919,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,14,11.1906530857,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,15,11.2510061264,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,15,11.9760410786,tap,s
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,16,12.0010139942,stimulus,
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,9,12.3745539188,pulse,NA
active_arrhTMS_3,clonesa_g2_001,32,F,3,True,1_probe_min,10,12.4331319332,pulse,NA
