# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'SAr', 'EEG': 'Yes', 'Block number': '2', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_24_1412', 'expName': 'FT-RSGT', 'frameRate': 59.952715972795964}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,0,0.0009491444,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,0,0.7329061031,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,1,0.7507250309,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,1,1.4475090504,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,2,1.5007700920,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,2,2.1539440155,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,3,2.2507901192,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,3,2.9009699821,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,4,3.0008051395,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,4,3.6397941113,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,5,3.7508289814,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,5,4.3787629604,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,6,4.5008461475,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,1,4.7250971794,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,2,4.8821392059,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,3,4.9220690727,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,6,5.1135740280,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,5,5.2267711163,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,7,5.2508659363,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,7,5.9863290787,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,8,6.0008809566,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,8,6.7009389400,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,9,6.7508940697,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,9,7.4641981125,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,10,7.5009310246,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,10,8.1747810841,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,11,8.2509281635,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,5,8.3919770718,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,6,8.4399001598,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,7,8.4787671566,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,9,8.8936760426,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,11,8.9500520229,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,12,9.0009391308,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,12,9.6850581169,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,13,9.7509551048,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,13,10.4117600918,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,14,10.5009710789,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,14,11.0939280987,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,15,11.2510550022,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,15,11.7963521481,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,16,12.0010559559,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,9,12.4725091457,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,16,12.5960690975,tap,s
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,10,12.6230552197,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,11,12.7024381161,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,17,12.7510571480,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,13,12.9741981030,pulse,NA
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,17,13.2660560608,tap,l
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,18,13.5010581017,stimulus,
sham_arrhTMS_2,clonesa_g2_001,32,F,2,True,1_probe_min,18,14.1184530258,tap,s
