# {'participant': 'clonesa_g2_002', 'age': '27', 'sex': 'M', 'session': 'N', 'EEG': 'Yes', 'Block number': '7', 'duration in min': '5', 'P.freq': '1: 40-80 s', 'date': '2022_mars_31_1507', 'expName': 'FT-RSGT', 'frameRate': 59.95597257720524}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,0,0.0004451275,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,0,0.2183210850,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,1,0.7502439022,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,1,0.8397419453,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,1,1.4775030613,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,2,1.5002489090,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,2,2.1900029182,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,3,2.2502660751,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,3,2.9432239532,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,4,3.0002770424,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,4,3.6296720505,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,5,3.7503058910,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,5,4.4460430145,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,6,4.5003249645,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,6,5.1649990082,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,7,5.2503490448,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,7,5.8839459419,tap,l
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,8,6.0003709793,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,8,6.6475019455,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,9,6.7503869534,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,9,7.4150829315,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,10,7.5004060268,stimulus,
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,10,8.1462540627,tap,s
baseline_7,clonesa_g2_002,27,M,7,True,1_probe_min,11,8.2504310608,stimulus,
