# {'participant': 'clonesa_g2_002', 'age': '27', 'sex': 'M', 'session': 'Sr', 'EEG': 'Yes', 'Block number': '2', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_31_1407', 'expName': 'FT-RSGT', 'frameRate': 59.952715972795964}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,0,0.0010218620,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,0,0.2358448505,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,1,0.7507808208,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,1,0.7880399227,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,1,1.4496479034,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,2,1.5007288456,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,2,2.1356518269,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,3,2.2507469654,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,3,2.8379168510,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,4,3.0007579327,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,1,3.1449580193,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,2,3.2956809998,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,3,3.4463570118,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,5,3.5971210003,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,4,3.6497030258,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,5,3.7507729530,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,5,4.4412539005,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,6,4.5007898808,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,6,5.1719357967,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,7,5.2508068085,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,7,5.9187560081,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,8,6.0008289814,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,8,6.6575238705,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,9,6.7508378029,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,9,7.4003708363,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,10,7.5008599758,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,5,7.9371981621,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,6,8.0878720284,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,10,8.1188199520,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,7,8.2385680676,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,11,8.2508788109,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,9,8.3892779350,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,11,8.9752688408,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,12,9.0008928776,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,12,9.7262120247,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,13,9.7509098053,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,13,10.4406177998,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,14,10.5009269714,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,14,11.1469049454,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,15,11.2509489059,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,15,11.8613588810,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,16,12.0009608269,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,9,12.0607171059,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,10,12.2114641666,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,11,12.3622570038,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,13,12.5129661560,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,16,12.6204299927,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,17,12.7510468960,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,18,13.5010638237,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,18,13.5092689991,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,18,14.2196209431,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,19,14.2510728836,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,19,14.9421229362,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,20,15.0010988712,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,20,15.6606960297,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,21,15.7511119843,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,13,16.1328790188,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,14,16.2836790085,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,21,16.3629720211,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,15,16.4344191551,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,22,16.5011348724,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,17,16.5851490498,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,22,17.1179559231,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,23,17.2511439323,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,23,17.9095029831,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,24,18.0011219978,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,24,18.6765708923,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,25,18.7511849403,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,25,19.4032130241,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,26,19.5012278557,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,26,20.1136038303,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,27,20.2512059212,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,27,20.9091207981,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,28,21.0012168884,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,17,21.0996940136,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,18,21.2504301071,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,19,21.4011840820,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,21,21.5519621372,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,28,21.6155219078,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,29,21.7512300014,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,29,22.3907577991,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,30,22.5012450218,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,30,23.1619808674,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,31,23.2512609959,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,31,23.9575757980,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,32,24.0012860298,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,32,24.6719260216,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,33,24.7513048649,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,33,25.3986198902,tap,s
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,34,25.5013229847,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,21,26.0314700603,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,34,26.1576688290,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,22,26.1823110580,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,35,26.2513389587,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,23,26.3330950737,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,25,26.4839229584,pulse,NA
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,35,26.9328279495,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,36,27.0013580322,stimulus,
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,36,27.6676650047,tap,l
sham_rhTMS_2,clonesa_g2_002,27,M,2,True,1_probe_min,37,27.7513728142,stimulus,
