# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'SAr', 'EEG': 'Yes', 'Block number': '5', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_24_1457', 'expName': 'FT-RSGT', 'frameRate': 59.951687644901334}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,0,0.0009789467,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,0.7507450581,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,0.8257229328,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,1.5007650852,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,1.5448141098,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,2.2507801056,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,2.3611590862,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,4,3.0008120537,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,4,3.0516610146,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,3.1865370274,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,3.2625310421,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,3.4172821045,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,3.6882920265,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,4,3.7058010101,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,3.7508130074,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,6,4.5008280277,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,6,4.5383770466,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,5.2508471012,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,5.2533540726,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,5.9641520977,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,8,6.0008509159,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,6.7508800030,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,6.7520461082,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,7.0554680824,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,6,7.2139601707,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,7.2399351597,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,7.5009629726,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,7.5279629230,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,7.5572049618,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,8.2469630241,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,11,8.2509639263,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,12,9.0009648800,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,12,9.0397350788,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,12,9.7270889282,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,9.7509729862,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,10.4470539093,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,14,10.5009779930,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,14,11.2155320644,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,15,11.2510540485,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,11.8348841667,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,11.9509620667,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,15,11.9841139317,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,16,12.0010540485,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,11,12.0152430534,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,12.3365490437,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,16,12.6472129822,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,17,12.7510631084,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,17,13.4401009083,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,18,13.5010569096,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,18,14.2217779160,tap,s
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,19,14.2510728836,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,19,14.9911398888,tap,l
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,20,15.0010828972,stimulus,
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,15.4391679764,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,14,15.6007189751,pulse,NA
sham_arrhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,20,15.7264239788,tap,l
