# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'Sr', 'EEG': 'Yes', 'Block number': '5', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_18_1426', 'expName': 'FT-RSGT', 'frameRate': 59.951687644901334}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,0,0.0010089874,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,0.7507648468,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,0.7709758282,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,1.5007638931,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,1.5427758694,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,2.1684498787,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,2.2507719994,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,2.9979619980,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,4,3.0008089542,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,4,3.7333278656,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,3.7508130074,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,1,3.8884329796,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,2,4.0557320118,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,3,4.2230079174,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,4.3902690411,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,4.4969599247,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,6,4.5008449554,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,5.2508528233,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,5.2567229271,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,8,6.0008718967,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,8,6.0327239037,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,6.7509047985,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,6.7720408440,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,7.4667258263,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,7.5009069443,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,8.1777358055,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,5,8.2137250900,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,11,8.2509169579,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,6,8.3809900284,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,7,8.5482571125,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,8.7155249119,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,11,8.8926968575,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,12,9.0009558201,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,12,9.6929647923,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,9.7509570122,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,10.4364659786,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,14,10.5009729862,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,14,11.1149628162,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,15,11.2509989738,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,15,11.8420908451,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,16,12.0010027885,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,9,12.0480051041,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,10,12.2152469158,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,11,12.3825058937,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,13,12.5497510433,pulse,NA
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,16,12.5855479240,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,17,12.7510199547,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,17,13.4425928593,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,18,13.5010488033,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,18,14.1373648643,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,19,14.2510578632,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,19,14.8482708931,tap,l
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,20,15.0010688305,stimulus,
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,20,15.6485068798,tap,s
sham_rhTMS_5,clonesa_g2_001,32,F,5,True,1_probe_min,21,15.7510960102,stimulus,
