# {'participant': 'clonesa_g2_002', 'age': '27', 'sex': 'M', 'session': 'N', 'EEG': 'Yes', 'Block number': '4', 'duration in min': '5', 'P.freq': '1: 40-80 s', 'date': '2022_mars_25_1456', 'expName': 'FT-RSGT', 'frameRate': 59.9509164221302}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,0,0.0004620552,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,0,0.2380831242,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,1,0.7502100468,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,1,0.8555760384,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,2,1.5002219677,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,2,1.5340931416,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,2,2.2369899750,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,3,2.2502350807,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,3,2.9561750889,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,4,3.0002489090,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,4,3.6590850353,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,5,3.7502660751,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,5,4.4066700935,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,6,4.5002899170,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,6,5.1704080105,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,7,5.2503061295,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,7,5.9177560806,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,8,6.0003240108,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,8,6.6575701237,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,9,6.7503371239,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,9,7.4376771450,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,10,7.5003590584,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,10,8.1648941040,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,11,8.2503850460,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,11,8.9489600658,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,12,9.0004050732,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,12,9.6762270927,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,13,9.7504270077,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,13,10.4278531075,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,14,10.5004460812,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,14,11.1835620403,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,15,11.2504649162,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,15,11.9229290485,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,16,12.0004911423,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,16,12.6988630295,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,17,12.7504990101,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,17,13.4381859303,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,18,13.5005180836,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,18,14.1776840687,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,19,14.2505359650,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,19,14.9535639286,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,20,15.0005691051,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,20,15.6808319092,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,21,15.7505660057,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,21,16.4610249996,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,22,16.5005679131,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,22,17.1678199768,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,23,17.2506060600,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,23,17.8949930668,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,24,18.0006279945,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,24,18.6060390472,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,25,18.7506480217,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,25,19.3983030319,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,26,19.5006639957,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,26,20.1822979450,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,27,20.2506849766,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,27,20.9217331409,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,28,21.0007021427,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,28,21.6449739933,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,29,21.7507281303,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,29,22.3925440311,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,30,22.5007450581,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,30,23.1562850475,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,31,23.2507600784,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,31,23.9159770012,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,32,24.0007750988,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,32,24.6960029602,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,33,24.7508149147,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,33,25.4313499928,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,34,25.5008139610,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,34,26.1992170811,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,35,26.2508559227,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,35,26.9507620335,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,36,27.0008480549,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,36,27.6861231327,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,37,27.7508599758,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,37,28.3565349579,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,38,28.5008819103,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,38,29.1487650871,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,39,29.2509100437,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,39,29.9125080109,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,40,30.0009279251,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,40,30.7047619820,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,41,30.7509479523,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,41,31.4928729534,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,42,31.5009620190,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,42,32.2282500267,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,43,32.2509870529,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,43,32.9595100880,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,44,33.0010070801,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,44,33.7235190868,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,45,33.7510390282,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,45,34.4586651325,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,46,34.5010371208,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,46,35.1778690815,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,47,35.2510521412,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,47,35.8968811035,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,48,36.0124590397,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,48,36.6567230225,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,49,36.7511241436,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,49,37.4084520340,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,50,37.5011250973,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,50,38.1518011093,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,51,38.2511260509,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,51,38.8709061146,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,52,39.0011370182,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,52,39.6428289413,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,53,39.7512140274,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,53,40.4514000416,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,54,40.5012121201,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,54,41.1664249897,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,55,41.2512149811,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,55,41.9219999313,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,56,42.0012159348,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,56,42.7141599655,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,57,42.7512390614,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,57,43.4495019913,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,58,43.5012490749,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,58,44.1848950386,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,59,44.2512750626,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,59,44.9001350403,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,60,45.0012941360,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,60,45.7044470310,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,61,45.7513120174,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,61,46.4681370258,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,62,46.5013251305,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,62,47.2034590244,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,63,47.2513420582,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,63,47.9144260883,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,64,48.0013589859,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,64,48.6417059898,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,65,48.7513809204,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,65,49.4988319874,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,66,49.5013959408,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,67,50.2514219284,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,67,50.2789220810,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,67,50.9776711464,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,68,51.0014340878,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,68,51.7496180534,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,69,51.7514491081,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,69,52.5012960434,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,70,52.5022659302,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,71,53.2515320778,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,71,53.2529029846,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,72,54.0015370846,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,72,54.0289080143,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,73,54.7515721321,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,73,54.7525970936,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,74,55.5015740395,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,74,55.5442500114,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,74,56.2390820980,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,75,56.2515869141,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,75,56.9622259140,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,76,57.0016009808,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,76,57.7138330936,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,77,57.7516160011,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,77,58.4694120884,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,78,58.5016279221,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,79,59.2516460419,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,79,59.2698180676,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,79,60.0012331009,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,80,60.0022780895,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,80,60.7325069904,tap,s
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,81,60.7516949177,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,81,61.4677951336,tap,l
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,82,61.5017099380,stimulus,
baseline_4,clonesa_g2_002,27,M,4,True,1_probe_min,82,62.1991529465,tap,l
